0000000001,0000000000,000150,-00473,-14237,-00449,000115,000664,000000
0000000002,0000001250,000201,-00569,-71436,-00592,000115,000664,000000
0000000003,0000002500,000040,-00473,-71205,-00497,000115,000664,000000
0000000004,0000003750,000320,-00568,-71205,-00591,000115,000664,000000
0000000005,0000005000,-33328,-00568,-71436,-00687,000115,000664,000000
0000000006,0000006250,000439,-00472,-13994,-00447,000115,000664,000000
0000000007,0000007500,-33395,-00569,-71524,-00688,000115,000664,000000
0000000008,0000008750,000439,-00472,-71017,-00495,000115,000664,000000
0000000009,0000010000,-33350,-00569,-71497,-00688,000115,000664,000000
0000000010,0000011250,000372,-00472,-14046,-00447,000115,000664,000000
0000000011,0000012500,-00048,-00474,-14402,-00450,000115,000664,000000
0000000012,0000013750,000320,-00426,-14134,-00354,000115,000664,000000
0000000013,0000015000,-33240,-00568,-71309,-00687,000115,000664,000000
0000000014,0000016250,000247,-00568,-71271,-00590,000115,000664,000000
0000000015,0000017500,000091,-00473,-14222,-00449,000115,000664,000000
0000000016,0000018750,000164,-00473,-14250,-00449,000115,000664,000000
0000000017,0000020000,000137,-00473,-14286,-00449,000115,000664,000000
0000000018,0000021250,-33070,-00473,-14171,-00544,000115,000664,000000
0000000019,0000022500,-33158,-00568,-71373,-00686,000115,000664,000000
0000000020,0000023750,000262,-00568,-71168,-00591,000115,000664,000000
0000000021,0000025000,-33183,-00426,-71284,-00497,000115,000664,000000
0000000022,0000026250,-33053,-00568,-71284,-00686,000115,000664,000000
0000000023,0000027500,-33054,-00568,-71206,-00686,000115,000664,000000
0000000024,0000028750,000089,-00473,-71321,-00497,000115,000664,000000
0000000025,0000030000,066637,-00474,-14234,-00356,000115,000664,000000
0000000026,0000031250,000280,-00425,-14199,-00354,000115,000664,000000
0000000027,0000032500,-33423,-00569,-71410,-00688,000115,000664,000000
0000000028,0000033750,067132,-00472,-71017,-00447,000115,000664,000000
0000000029,0000035000,-00480,-00569,-71612,-00593,000115,000664,000000
0000000030,0000036250,067286,-00472,-13805,-00353,000115,000664,000000
0000000031,0000037500,-33627,-00569,-71765,-00688,000115,000664,000000
0000000032,0000038750,000506,-00473,-13690,-00447,000115,000664,000000
0000000033,0000040000,-33255,-00426,-71853,-00498,000115,000664,000000
0000000034,0000041250,000179,-00473,-13653,-00448,000115,000664,000000
0000000035,0000042500,066689,-00568,-71798,-00498,000115,000664,000000
0000000036,0000043750,000059,-00426,-13767,-00354,000115,000664,000000
0000000037,0000045000,-32968,-00426,-71633,-00498,000115,000664,000000
0000000038,0000046250,000018,-00473,-13969,-00448,000115,000664,000000
0000000039,0000047500,000339,-00568,014052,-00449,000115,000664,000000
0000000040,0000048750,-33329,-00463,014454,-00439,000121,000628,000027
0000000041,0000050000,066904,-00503,-14489,-00384,000133,000682,-00035
0000000042,0000051250,066418,-00404,-13915,-00286,000115,000615,000047
0000000043,0000052500,066730,-00524,-71634,-00500,000154,000686,-00062
0000000044,0000053750,000156,014253,-13837,014328,009648,-53659,044018
0000000045,0000055000,-33117,-10582,-71541,-10655,049752,-99999,051182
0000000046,0000056250,066651,-51855,-14046,-51749,078916,-91369,016147
0000000047,0000057500,066741,-78667,014258,-78520,097109,-69534,-26814
0000000048,0000058750,-00029,-97597,014132,-97501,099995,-39055,-59070
0000000049,0000060000,066867,-99855,071511,-99618,087538,000679,-87852
