0000000001,0000000000,089351,-02754,-85998,005087,048614,052717,-99999
0000000002,0000001250,060132,039190,-99679,-25723,011811,080441,-92570
0000000003,0000002500,029728,068489,-97789,032683,-27712,098024,-68381
0000000004,0000003750,-15133,092835,-79987,-93206,-62242,099998,-38505
0000000005,0000005000,-47485,099871,-52310,046373,-87927,085932,003519
0000000006,0000006250,-80932,092227,-13199,-52911,-99767,060993,038064
0000000007,0000007500,-96515,072921,023834,059533,-96514,023400,073172
0000000008,0000008750,-99998,037457,060992,-49037,-78991,-13659,092350
0000000009,0000010000,-89274,002780,085766,-14978,-48566,-52885,099997
0000000010,0000011250,-60134,-39012,099368,015497,-11893,-80388,092488
0000000011,0000012500,-29474,-68564,097673,-35865,027936,-98133,068155
0000000012,0000013750,015057,-92563,079784,089875,062057,-99998,038463
0000000013,0000015000,047357,-99810,052120,-59655,087951,-85988,-03596
0000000014,0000016250,081120,-91916,012945,059663,099789,-61049,-38140
0000000015,0000017500,096640,-72484,-23960,-35846,096422,-23340,-73248
0000000016,0000018750,099934,-37395,-61245,028903,078897,013719,-92310
0000000017,0000020000,089335,-02719,-86017,005132,048473,052829,-99958
0000000018,0000021250,060132,039198,-99747,-28871,011800,080331,-92448
0000000019,0000022500,029409,068814,-97735,036010,-28029,098194,-68115
0000000020,0000023750,-15059,092812,-79848,-83068,-62266,099941,-38424
0000000021,0000025000,-47548,099997,-52310,046364,-88044,085932,003636
0000000022,0000026250,-81185,092101,-13072,-69652,-99766,060875,038180
0000000023,0000027500,-96515,072733,023959,052778,-96515,023284,073288
0000000024,0000028750,-99808,037393,061307,-28858,-78873,-13893,092350
0000000025,0000030000,-89274,002780,085890,-11673,-48450,-52885,099997
0000000026,0000031250,-60070,-39201,099620,018886,-11776,-80389,092488
0000000027,0000032500,-29411,-68626,097672,-35880,028052,-98133,068039
0000000028,0000033750,015248,-92627,079595,083170,062289,-99998,038347
0000000029,0000035000,047483,-99684,052057,-56302,088067,-85871,-03712
0000000030,0000036250,081184,-91916,012945,066388,099789,-60932,-38256
0000000031,0000037500,096766,-72484,-24086,-35868,096422,-23223,-73248
0000000032,0000038750,099996,-37081,-61435,038976,078780,013953,-92427
0000000033,0000040000,089209,-02531,-86017,011851,048357,052944,-99958
0000000034,0000041250,060006,039387,-99748,-25556,011683,080449,-92448
0000000035,0000042500,029409,068939,-97609,046128,-28146,098194,-68115
0000000036,0000043750,-15249,092812,-79849,-93194,-62265,099941,-38307
0000000037,0000045000,-47675,099997,-52183,046426,-88161,085815,003752
0000000038,0000046250,-81186,092039,-12883,-66342,-99765,060758,038295
0000000039,0000047500,-96579,072671,024023,049455,-96516,023167,073287
0000000040,0000048750,-99935,037268,061181,-42279,-78756,-14010,092466
0000000041,0000050000,-89147,002593,085953,-11692,-48334,-53001,099997
0000000042,0000051250,-59880,-39263,099683,028983,-11542,-80506,092371
0000000043,0000052500,-29222,-68753,097546,-35937,028168,-98251,068039
0000000044,0000053750,015437,-92626,079595,093299,062406,-99881,038231
0000000045,0000055000,047673,-99873,051930,-59736,088067,-85872,-03828
0000000046,0000056250,081312,-91916,012630,056408,099790,-60814,-38372
0000000047,0000057500,096576,-72358,-24276,-52724,096421,-23107,-73364
0000000048,0000058750,099998,-37081,-61434,039073,078780,014070,-92426
0000000049,0000060000,089019,-02280,-86207,001688,048241,053061,-99958
0000000050,0000061250,059942,039450,-99746,-25462,011449,080565,-92330
0000000051,0000062500,029284,068939,-97736,035997,-28261,098194,-68000
0000000052,0000063750,-15565,092937,-79659,-93151,-62498,099824,-38077
0000000053,0000065000,-47862,099997,-52060,039681,-88158,085817,003864
0000000054,0000066250,-81375,091915,-12821,-76380,-99767,060643,038410
0000000055,0000067500,-96578,072672,024147,052782,-96399,023052,073401
0000000056,0000068750,-99808,037207,061369,-32192,-78759,-14125,092466
0000000057,0000070000,-89148,002281,086079,-21775,-48102,-53234,099997
0000000058,0000071250,-59882,-39386,099619,018934,-11430,-80620,092372
0000000059,0000072500,-29096,-68815,097547,-35938,028400,-98250,067809
0000000060,0000073750,015562,-92625,079533,093279,062403,-99881,038001
