0000000001,0000000000,095654,-22271,-74088,-10937,057978,043290,-99920
0000000002,0000001250,073643,021385,-95005,-22504,022159,073093,-95969
0000000003,0000002500,046960,054608,-99911,037440,-18066,094215,-75453
0000000004,0000003750,004026,085738,-89556,-88922,-54519,099998,-47652
0000000005,0000005000,-29311,099613,-67367,048804,-83561,090097,-06747
0000000006,0000006250,-67551,099805,-31813,-96281,-99176,068263,028518
0000000007,0000007500,-88341,086156,004869,048597,-99999,032849,065970
0000000008,0000008750,-99874,055582,044749,-48166,-85910,-03425,088054
0000000009,0000010000,-95755,022098,074107,-10741,-57951,-43468,099881
0000000010,0000011250,-73813,-21588,094926,-17999,-22142,-73158,095951
0000000011,0000012500,-46969,-54689,099995,-48240,018149,-94453,075426
0000000012,0000013750,-04153,-85520,089714,088945,054427,-99998,047793
0000000013,0000015000,029371,-99614,067238,-67068,083560,-90161,006629
0000000014,0000016250,067486,-99998,031749,070832,099175,-68326,-28518
0000000015,0000017500,088214,-86222,-05060,-81554,099997,-33028,-65856
0000000016,0000018750,099810,-55391,-44814,044691,085791,003362,-87939
0000000017,0000020000,095565,-22034,-74173,-11205,057716,043405,-99883
0000000018,0000021250,073687,021459,-94928,-11129,022142,073095,-95951
0000000019,0000022500,046841,054816,-99998,029960,-18268,094389,-75311
0000000020,0000023750,004027,085646,-89652,-99756,-54546,099935,-47562
0000000021,0000025000,-29624,099614,-67241,037782,-83562,089981,-06514
0000000022,0000026250,-67550,099804,-31625,-85283,-99176,068146,028634
0000000023,0000027500,-88341,086157,004994,055929,-99998,032850,065971
0000000024,0000028750,-99874,055326,044874,-59172,-85792,-03658,088054
0000000025,0000030000,-95630,021969,074234,-03390,-57834,-43583,099881
0000000026,0000031250,-73751,-21588,094989,-03389,-22142,-73275,095950
0000000027,0000032500,-46780,-54881,099996,-48202,018267,-94568,075310
0000000028,0000033750,-04090,-85519,089525,081582,054546,-99997,047561
0000000029,0000035000,029560,-99616,067177,-59699,083561,-90161,006513
0000000030,0000036250,067611,-99805,031497,070783,099175,-68209,-28635
0000000031,0000037500,088214,-86158,-05059,-77850,099998,-32914,-65972
0000000032,0000038750,099810,-55263,-44877,044673,085674,003595,-88055
0000000033,0000040000,095565,-21971,-74236,-11215,057716,043519,-99883
0000000034,0000041250,073563,021652,-94991,-11102,022024,073212,-95835
0000000035,0000042500,046528,054879,-99935,026273,-18385,094389,-75196
0000000036,0000043750,003901,085775,-89527,-92418,-54664,099819,-47445
0000000037,0000045000,-29812,099614,-67178,034129,-83678,089866,-06398
0000000038,0000046250,-67800,099677,-31500,-96296,-99294,068031,028750
0000000039,0000047500,-88341,086157,005183,066954,-99998,032733,066087
0000000040,0000048750,-99811,055326,044937,-48228,-85792,-03773,088171
0000000041,0000050000,-95567,021842,074423,007618,-57598,-43815,099881
0000000042,0000051250,-73437,-21781,094989,000266,-21907,-73391,095951
0000000043,0000052500,-46717,-55073,099996,-51876,018502,-94568,075194
0000000044,0000053750,-03901,-85776,089525,081605,054663,-99998,047445
0000000045,0000055000,029748,-99679,067050,-59713,083678,-90045,006396
0000000046,0000056250,067800,-99806,031372,074448,099175,-68094,-28751
0000000047,0000057500,088339,-85965,-05373,-77829,099880,-32797,-66088
0000000048,0000058750,099935,-55199,-45065,044636,085674,003710,-88172
0000000049,0000060000,095565,-21780,-74236,-00186,057597,043636,-99882
0000000050,0000061250,073435,021781,-95117,-14806,021905,073212,-95835
0000000051,0000062500,046530,055006,-99935,029962,-18620,094505,-75080
0000000052,0000063750,003775,085966,-89401,-81430,-54781,099818,-47331
0000000053,0000065000,-29809,099612,-67055,037736,-83795,089867,-06285
0000000054,0000066250,-67862,099614,-31312,-96204,-99293,067916,028980
0000000055,0000067500,-88402,085965,005243,055852,-99998,032504,066201
0000000056,0000068750,-99811,055200,045125,-40770,-85676,-03886,088170
0000000057,0000070000,-95568,021651,074294,-10827,-57483,-43929,099880
0000000058,0000071250,-73438,-21842,094989,-03261,-21792,-73389,095952
0000000059,0000072500,-46532,-55200,099996,-48331,018618,-94684,075079
0000000060,0000073750,-03590,-85645,089400,099998,054779,-99998,047332
0000000061,0000075000,029809,-99680,066863,-67101,083795,-89930,006167
0000000062,0000076250,067673,-99805,031312,063507,099175,-67980,-28864
0000000063,0000077500,088464,-86031,-05498,-81519,099881,-32567,-66203
0000000064,0000078750,099934,-55073,-45189,044645,085556,003823,-88171
0000000065,0000080000,095566,-21653,-74423,-07502,057482,043866,-99882
0000000066,0000081250,073374,021778,-95115,-22139,021672,073326,-95836
0000000067,0000082500,046405,055134,-99999,026310,-18736,094504,-74964
0000000068,0000083750,003588,085965,-89339,-88773,-54898,099818,-47216
0000000069,0000085000,-29998,099613,-66866,037770,-83796,089751,-06168
0000000070,0000086250,-67988,099678,-31187,-92584,-99293,067800,028979
0000000071,0000087500,-88402,085838,005432,059559,-99881,032388,066318
0000000072,0000088750,-99874,055008,045250,-51811,-85558,-04003,088286
0000000073,0000090000,-95567,021459,074421,-14417,-57483,-43929,099997
0000000074,0000091250,-73376,-22034,095114,-03349,-21673,-73504,095835
0000000075,0000092500,-46343,-55264,099996,-40908,018735,-94683,074963
0000000076,0000093750,-03590,-85838,089400,088913,054897,-99998,047215
0000000077,0000095000,029934,-99679,066863,-59692,083795,-89930,006051
0000000078,0000096250,067860,-99806,031123,063450,099292,-67864,-29097
0000000079,0000097500,088464,-85839,-05560,-77833,099880,-32451,-66319
0000000080,0000098750,099935,-54880,-45251,048314,085440,003939,-88287
0000000081,0000100000,095378,-21460,-74549,-11192,057246,043982,-99882
0000000082,0000101250,073250,022097,-95115,-11116,021555,073441,-95720
0000000083,0000102500,046341,055390,-99936,040920,-18855,094621,-74848
0000000084,0000103750,003526,086029,-89213,-81414,-55015,099818,-47100
0000000085,0000105000,-30124,099613,-66867,034075,-83913,089751,-05936
0000000086,0000106250,-68050,099678,-30998,-85223,-99293,067685,029212
0000000087,0000107500,-88527,085965,005619,070503,-99881,032272,066433
0000000088,0000108750,-99874,055007,045439,-40785,-85558,-04235,088401
0000000089,0000110000,-95317,021268,074420,-14451,-57364,-44161,099997
0000000090,0000111250,-73188,-22291,095177,000341,-21556,-73621,095835
0000000091,0000112500,-46218,-55391,099996,-40934,018854,-94683,074963
0000000092,0000113750,-03277,-85966,089211,088934,055014,-99998,047099
0000000093,0000115000,030247,-99679,066675,-56034,083912,-89814,005935
0000000094,0000116250,067987,-99679,030996,070750,099292,-67864,-29213
0000000095,0000117500,088464,-85775,-05747,-81447,099880,-32334,-66434
0000000096,0000118750,099935,-54817,-45565,037257,085439,004171,-88287
0000000097,0000120000,095440,-21397,-74548,-00118,057246,044098,-99882
0000000098,0000121250,073187,022098,-95179,-22195,021437,073557,-95720
0000000099,0000122500,046153,055391,-99935,030016,-18972,094620,-74848
0000000100,0000123750,003339,086029,-89213,-92456,-55133,099819,-46983
0000000101,0000125000,-30438,099677,-66677,034117,-84031,089634,-05819
0000000102,0000126250,-68174,099614,-30937,-92584,-99412,067569,029328
0000000103,0000127500,-88717,085645,005809,055895,-99881,032040,066550
0000000104,0000128750,-99873,054816,045563,-48149,-85441,-04350,088401
0000000105,0000130000,-95318,021267,074735,000224,-57129,-44277,099998
0000000106,0000131250,-73062,-22355,095177,000322,-21438,-73737,095718
0000000107,0000132500,-46219,-55519,099872,-51908,018971,-94800,074847
0000000108,0000133750,-03276,-86030,089211,085271,055132,-99998,046982
0000000109,0000135000,030122,-99806,066738,-59703,084031,-89814,005818
0000000110,0000136250,068174,-99678,030808,070767,099292,-67632,-29329
0000000111,0000137500,088714,-85775,-05874,-70482,099762,-32220,-66550
0000000112,0000138750,099934,-54689,-45565,044610,085322,004288,-88402
0000000113,0000140000,095378,-21141,-74737,-07483,057010,044213,-99882
0000000114,0000141250,073061,022290,-95179,-14824,021320,073674,-95720
0000000115,0000142500,046153,055518,-99810,040960,-19091,094620,-74731
0000000116,0000143750,003212,086222,-89151,-81450,-55250,099819,-46867
0000000117,0000145000,-30500,099677,-66615,034117,-84149,089634,-05703
0000000118,0000146250,-68238,099614,-30810,-92593,-99411,067453,029443
0000000119,0000147500,-88591,085645,005934,066889,-99881,031924,066666
0000000120,0000148750,-99874,054688,045626,-48150,-85322,-04466,088517
0000000121,0000150000,-95318,021075,074798,-03438,-57012,-44393,099997
0000000122,0000151250,-72937,-22482,095364,011313,-21202,-73852,095719
0000000123,0000152500,-46030,-55584,099871,-48260,019089,-94799,074731
0000000124,0000153750,-03089,-86158,089023,077970,055250,-99998,046866
0000000125,0000155000,030436,-99807,066486,-59734,084147,-89697,005702
0000000126,0000156250,068112,-99486,030808,074476,099410,-67633,-29445
0000000127,0000157500,088653,-85648,-06063,-81534,099762,-31987,-66667
0000000128,0000158750,099998,-54495,-45753,048350,085204,004402,-88519
0000000129,0000160000,095378,-21077,-74800,-07555,056893,044330,-99882
0000000130,0000161250,072998,022546,-95304,-11116,021084,073674,-95604
0000000131,0000162500,045966,055581,-99935,029956,-19207,094620,-74616
0000000132,0000163750,003024,086222,-89151,-92441,-55369,099819,-46751
0000000133,0000165000,-30626,099804,-66488,037797,-84148,089519,-05588
0000000134,0000166250,-68363,099614,-30810,-96283,-99412,067453,029560
0000000135,0000167500,-88716,085581,005998,059593,-99763,031807,066782
0000000136,0000168750,-99874,054495,045752,-55494,-85323,-04582,088517
0000000137,0000170000,-95317,021011,074798,-10748,-56893,-44509,099997
0000000138,0000171250,-73063,-22547,095303,-03347,-21086,-73969,095719
0000000139,0000172500,-45903,-55776,099808,-59215,019324,-94799,074615
0000000140,0000173750,-03026,-86222,089023,077921,055368,-99998,046750
0000000141,0000175000,030625,-99806,066361,-56001,084148,-89697,005470
0000000142,0000176250,068173,-99615,030620,063394,099410,-67516,-29560
0000000143,0000177500,088715,-85518,-06125,-74104,099762,-31987,-66783
0000000144,0000178750,099934,-54432,-45817,044574,085204,004519,-88518
0000000145,0000180000,095253,-20884,-74800,-00129,056892,044446,-99882
0000000146,0000181250,072872,022545,-95304,-14858,020967,073905,-95604
0000000147,0000182500,045778,055775,-99935,030005,-19443,094736,-74500
0000000148,0000183750,002836,086221,-89024,-99775,-55486,099819,-46636
0000000149,0000185000,-30626,099678,-66427,037773,-84266,089519,-05471
0000000150,0000186250,-68427,099486,-30433,-85245,-99411,067337,029676
0000000151,0000187500,-88779,085453,006122,055871,-99763,031693,066898
0000000152,0000188750,-99874,054495,045816,-48115,-85204,-04814,088634
0000000153,0000190000,-95318,020756,074984,-10790,-56777,-44623,099997
0000000154,0000191250,-72937,-22738,095364,-03323,-20969,-73968,095603
0000000155,0000192500,-45844,-55901,099996,-48230,019439,-94913,074501
0000000156,0000193750,-02840,-86350,089150,088878,055483,-99998,046637
0000000157,0000195000,030623,-99805,066363,-55951,084264,-89583,005356
0000000158,0000196250,068297,-99616,030434,059669,099410,-67286,-29791
0000000159,0000197500,088903,-85327,-06249,-59384,099763,-31758,-66897
