Id,Creation Time,Owner,my_params/Activation Function 1D,my_params/Activation Function Dense,my_params/Dense,my_params/Dropuot,my_params/epoch,my_params/filter,my_params/kernel,my_params/pool_size,report_testing/categorical_accuracy (last),report_testing/loss (last),report_testing/precision (last),report_testing/recall (last),report_validate/accuracy_score (last),report_validate/balanced_accuracy_score (last),report_validate/categorical_accuracy (last),report_validate/f1_score_macro (last),report_validate/f1_score_micro (last),report_validate/f1_score_weighted (last),report_validate/loss (last),report_validate/precision (last),report_validate/precision_score_macro (last),report_validate/precision_score_micro (last),report_validate/precision_score_weighted (last),report_validate/recall (last),report_validate/recall_score_macro (last),report_validate/recall_score_micro (last),report_validate/recall_score_weighted (last),report_validate/val_categorical_accuracy (last),report_validate/val_loss (last),report_validate/val_precision (last),report_validate/val_recall (last),time/Evaluation Time,time/Train Time
CNN-96,2021-06-29 13:42:01,muflihnurfaizi,relu,relu,128,0.5,100,256,3,2,0.9755027294158936,0.5667166709899902,0.9763022661209106,0.9749138951301575,0.9130434782608695,0.8666666666666667,0.9755347371101379,0.861111111111111,0.9130434782608695,0.9094202898550724,7.116971900700264E-9,0.9763347506523132,0.9047619047619048,0.9130434782608695,0.9378881987577641,0.974945604801178,0.8666666666666667,0.9130434782608695,0.9130434782608695,0.9755222201347351,0.19761672616004944,0.9763218760490417,0.9749333262443542,0.45,1177.56
CNN-95,2021-06-29 13:32:23,muflihnurfaizi,relu,relu,128,0.5,100,128,3,2,0.699999988079071,0.28022104501724243,0.7805907130241394,0.6098901033401489,0.9565217391304348,0.9743589743589745,0.6867830753326416,0.9563636363636364,0.9565217391304348,0.9576284584980236,0.2955883741378784,0.7685303688049316,0.9444444444444445,0.9565217391304348,0.963768115942029,0.5930373668670654,0.9743589743589745,0.9565217391304348,0.9565217391304348,0.6966666579246521,0.3321273624897003,0.7774607539176941,0.605555534362793,0.67,29.44
CNN-94,2021-06-29 10:38:01,muflihnurfaizi,relu,relu,128,0.5,100,128,3,2,0.9528301954269409,0.11696525663137436,0.9635623097419739,0.9450610280036926,0.9130434782608695,0.8666666666666667,0.9529244303703308,0.861111111111111,0.9130434782608695,0.9094202898550724,3.1890922400634736E-5,0.9637141227722168,0.9047619047619048,0.9130434782608695,0.9378881987577641,0.9451156258583069,0.8666666666666667,0.9130434782608695,0.9130434782608695,0.9528889060020447,0.2335442453622818,0.9636343121528625,0.945111095905304,0.67,90.03
CNN-93,2021-06-29 09:21:42,muflihnurfaizi,relu,relu,128,0.5,1000,128,3,2,0.9792689681053162,0.1644771248102188,0.9812479019165039,0.9766692519187927,0.9565217391304348,0.9333333333333332,0.9792806506156921,0.9326599326599326,0.9565217391304348,0.956082564778217,6.049424428056227E-8,0.9812609553337097,0.9444444444444445,0.9565217391304348,0.963768115942029,0.9766907691955566,0.9333333333333332,0.9565217391304348,0.9565217391304348,0.9792777895927429,0.08498357981443405,0.9812569618225098,0.9766777753829956,0.43,757.76
CNN-92,2021-06-29 00:00:35,muflihnurfaizi,relu,relu,128,0.5,10,32,3,2,0.6373626589775085,0.3131224513053894,0.7212885022163391,0.5659340620040894,0.8695652173913043,0.923076923076923,0.6231285929679871,0.870663153271849,0.8695652173913043,0.87028126253079,0.41658705472946167,0.7071052193641663,0.8492063492063493,0.8695652173913043,0.9016563146997931,0.5494536757469177,0.923076923076923,0.8695652173913043,0.8695652173913043,0.6333333253860474,0.45577508211135864,0.7173295617103577,0.5611110925674438,0.43,23.86
CNN-91,2021-06-28 23:47:02,muflihnurfaizi,relu,relu,128,0.5,100,32,3,2,0.9608213305473328,0.2821007966995239,0.9768449664115906,0.950499415397644,1.0,1.0,0.96073317527771,1.0,1.0,1.0,1.9471922132652253E-4,0.9768382906913757,1.0,1.0,1.0,0.9503586888313293,1.0,1.0,1.0,0.9608888626098633,0.08452029526233673,0.9769327640533447,0.9505555629730225,0.67,98.68
CNN-90,2021-06-28 23:28:01,muflihnurfaizi,relu,relu,128,0.5,1000,32,3,2,0.9789689779281616,1.0821757316589355,0.9802283644676208,0.9776691198348999,1.0,1.0,0.978969395160675,1.0,1.0,1.0,3.1455849693884375E-6,0.9802294373512268,1.0,1.0,1.0,0.9776689410209656,1.0,1.0,1.0,0.9789777994155884,0.06457426398992538,0.9802373051643372,0.9776777625083923,0.67,578.33
CNN-89,2021-06-28 23:14:16,muflihnurfaizi,relu,relu,128,0.5,10,64,3,2,0.69010990858078,0.3864371180534363,0.7827988266944885,0.5901098847389221,0.8695652173913043,0.7999999999999999,0.6806004047393799,0.789241622574956,0.8695652173913043,0.8496664366229583,0.208242267370224,0.7753836512565613,0.8809523809523809,0.8695652173913043,0.8975155279503105,0.5752810835838318,0.7999999999999999,0.8695652173913043,0.8695652173913043,0.6888889074325562,0.35995492339134216,0.7813884615898132,0.5877777934074402,0.37,25.56
CNN-88,2021-06-28 23:05:46,muflihnurfaizi,relu,relu,128,0.5,100,64,3,2,0.9503884315490723,0.09273680299520493,0.9618821144104004,0.9438402056694031,0.8695652173913043,0.841025641025641,0.9504702091217041,0.82,0.8695652173913043,0.8686956521739131,1.1285103391855955E-4,0.9620295166969299,0.8214285714285715,0.8695652173913043,0.8835403726708075,0.9440001845359802,0.841025641025641,0.8695652173913043,0.8695652173913043,0.9503333568572998,0.20674370229244232,0.9618433117866516,0.9438889026641846,0.36,97.47
CNN-87,2021-06-28 22:42:32,muflihnurfaizi,relu,relu,128,0.5,1000,64,3,2,0.9748361110687256,0.03766290470957756,0.9760409593582153,0.9739806652069092,0.9130434782608695,0.8666666666666667,0.9748455882072449,0.861111111111111,0.9130434782608695,0.9094202898550724,7.793066174599517E-7,0.9760510921478271,0.9047619047619048,0.9130434782608695,0.9378881987577641,0.9739896655082703,0.8666666666666667,0.9130434782608695,0.9130434782608695,0.9748333096504211,0.22714239358901978,0.9760382771492004,0.97397780418396,0.67,516.32
