1,0,-43213,-46588,48047,-46047,59293,-99870,40807,42542
2,1250,-42906,-30184,23191,-46054,83152,-85089,3422,57547
3,2500,-42785,-10678,2510,-46069,99566,-61242,-35912,68596
4,3750,-43031,20965,-13829,-46102,98212,-28785,-66720,67812
5,5000,-43388,50462,-24318,-46135,78857,11096,-87667,54655
6,6250,-43875,73133,-24568,-46169,52008,49057,-99319,37386
7,7500,-44546,90598,-13617,-46203,16031,76227,-90981,15002
8,8750,-45116,99803,594,-46221,-24144,94264,-69174,-10103
9,10000,-45562,93730,22340,-46230,-59273,99855,-40507,-31985
10,11250,-45872,77563,47394,-46221,-83136,85086,-3026,-47110
11,12500,-45989,57952,67899,-46210,-99546,61288,36219,-58201
12,13750,-45743,26482,84191,-46178,-98200,28861,67072,-57268
13,15000,-45390,-3116,94962,-46142,-78890,-11020,88097,-44333
14,16250,-44904,-25716,95051,-46107,-52143,-49031,99791,-26950
15,17500,-44232,-43244,84081,-46075,-16122,-76197,91516,-4616
16,18750,-43660,-52496,69710,-46051,24075,-94279,69620,20468
17,20000,-43219,-46462,48109,-46047,59148,-99901,40969,42441
18,21250,-42907,-30368,23175,-46054,83052,-85144,3589,57470
19,22500,-42789,-10575,2598,-46069,99510,-61339,-35749,68541
20,23750,-43032,21061,-13794,-46101,98255,-28959,-66613,67838
21,25000,-43390,50418,-24353,-46134,78926,10928,-87592,54675
22,26250,-43872,73035,-24583,-46169,52147,48958,-99336,37445
23,27500,-44544,90621,-13641,-46203,16225,76142,-91056,15146
24,28750,-45115,99777,642,-46221,-23993,94140,-69207,-10011
25,30000,-45557,93917,22309,-46225,-59141,99905,-40665,-31872
26,31250,-45869,77639,47373,-46221,-83030,85171,-3248,-47034
27,32500,-45991,58021,67975,-46209,-99493,61371,36059,-58139
28,33750,-45745,26573,84122,-46174,-98238,29023,66962,-57307
29,35000,-45390,-2790,94865,-46141,-79026,-10794,87991,-44416
30,36250,-44909,-25456,95133,-46110,-52308,-48857,99786,-27070
31,37500,-44233,-43067,84274,-46074,-16321,-76099,91617,-4745
32,38750,-43662,-52443,69850,-46051,23960,-94176,69698,20373
33,40000,-43225,-46665,48354,-46047,59045,-99973,41145,42366
34,41250,-42906,-30422,23309,-46054,82969,-85279,3772,57444
35,42500,-42779,-10706,2564,-46068,99470,-61465,-35608,68520
36,43750,-43028,20654,-13730,-46101,98348,-29132,-66478,67923
37,45000,-43385,50091,-24321,-46133,79047,10683,-87513,54751
38,46250,-43868,72778,-24534,-46170,52332,48830,-99245,37643
39,47500,-44543,90436,-13653,-46207,16350,76015,-91171,15418
40,48750,-45111,99743,441,-46223,-23909,94090,-69366,-9886
41,50000,-45555,93957,22087,-46229,-59035,99907,-40822,-31834
42,51250,-45866,77730,47251,-46218,-82928,85252,-3404,-46990
43,52500,-45990,58244,67739,-46209,-99441,61526,35898,-58118
44,53750,-45744,26819,84066,-46179,-98263,29168,66832,-57304
45,55000,-45391,-2875,94822,-46140,-79110,-10629,87911,-44470
46,56250,-44908,-25551,95181,-46107,-52445,-48719,99780,-27155
47,57500,-44237,-43210,84146,-46075,-16497,-76008,91709,-4881
48,58750,-43661,-52417,69839,-46051,23779,-94118,69813,20265
49,60000,-43226,-46795,48497,-46047,58872,-99981,41300,42270
50,61250,-42909,-30428,23345,-46053,82832,-85297,3940,57334
51,62500,-42784,-10870,2744,-46068,99432,-61628,-35398,68513
52,63750,-43027,20552,-13646,-46100,98322,-29275,-66351,67881
53,65000,-43384,50169,-24368,-46133,79172,10543,-87439,54871
54,66250,-43867,72702,-24606,-46168,52478,48601,-99316,37690
55,67500,-44535,90565,-13666,-46202,16560,75909,-91205,15385
56,68750,-45111,99665,497,-46221,-23725,94039,-69410,-9826
57,70000,-45558,93922,21923,-46226,-58899,99995,-41001,-31731
58,71250,-45870,77699,47199,-46218,-82805,85314,-3554,-46895
59,72500,-45995,58292,67826,-46209,-99443,61624,35758,-58122
60,73750,-45746,26678,84003,-46175,-98350,29335,66719,-57371
61,75000,-45394,-2676,94721,-46137,-79202,-10461,87862,-44528
62,76250,-44912,-25260,95270,-46107,-52597,-48547,99721,-27265
63,77500,-44239,-43086,84321,-46076,-16663,-75872,91699,-4977
64,78750,-43665,-52567,70025,-46052,23606,-94074,69931,20143
65,80000,-43225,-46713,48537,-46047,58771,-99998,41482,42197
66,81250,-42910,-30466,23463,-46053,82773,-85391,4103,57299
67,82500,-42782,-11104,2788,-46068,99404,-61759,-35237,68468
68,83750,-43026,20264,-13560,-46100,98395,-29488,-66221,67943
69,85000,-43383,49943,-24340,-46133,79308,10346,-87350,54953
70,86250,-43860,72615,-24568,-46167,52612,48443,-99286,37785
71,87500,-44533,90261,-13738,-46202,16788,75798,-91303,15541
72,88750,-45105,99565,434,-46218,-23514,93977,-69601,-9691
73,90000,-45554,94117,21777,-46225,-58769,99998,-41142,-31676
74,91250,-45859,78023,47108,-46214,-82793,85461,-3732,-46816
75,92500,-46004,58470,67768,-46223,-99355,61784,35558,-58228
76,93750,-45665,27274,83998,-46085,-98593,29545,66612,-56900
77,95000,-45495,-2765,94556,-46245,-79017,-10317,87768,-45681
78,96250,-44416,-24606,96029,-45561,-53707,-48175,99711,-23444
79,97500,-44505,-43908,83985,-46363,-14133,-76353,91399,2856
80,98750,-41715,-44794,75970,-43729,14275,-94696,69453,28646
81,100000,-26433,-32213,58962,-28277,21198,-94327,48321,65520
82,101250,-1742,-13398,32374,-3297,30544,-78219,14000,85063
83,102500,28622,2915,12767,27616,35831,-50783,-22758,99456
84,103750,58893,19171,-15379,58220,36273,-17089,-53751,80832
85,105000,83203,34282,-38110,82864,31810,19895,-77417,47131
86,106250,97794,46782,-53876,97691,23667,54045,-91383,11346
87,107500,99998,54527,-60222,99998,12361,76989,-87502,-28213
88,108750,87407,58115,-56611,87423,-276,90082,-71617,-65101
89,110000,63615,51643,-39453,63593,-11338,91590,-49649,-81597
90,111250,32380,29900,-10416,32097,-20806,76577,-16348,-92455
91,112500,-3833,2259,18142,-4616,-27751,51503,20585,-99999
92,113750,-39423,-25411,44156,-40886,-29450,17456,51683,-81013
93,115000,-67578,-47476,67279,-69625,-26450,-19039,75182,-45132
94,116250,-85964,-68084,83509,-88583,-19068,-53293,90336,-10372
95,117500,-92414,-84270,86208,-95609,-8537,-75775,86988,28217
96,118750,-85496,-98473,77836,-89163,3794,-88746,72038,64161
97,120000,-67344,-99999,55207,-71254,14683,-90776,50702,85670
98,121250,-40893,-83224,20725,-44746,25749,-76726,17013,91927
99,122500,-9703,-59857,-10910,-13094,34236,-52849,-19886,99998
100,123750,21004,-31960,-44463,18241,34401,-19570,-50162,88240
101,125000,45113,-6533,-74844,42984,29956,17691,-74441,57312
102,126250,56779,14568,-94884,55807,22634,52497,-90325,21981
103,127500,54350,29647,-99999,54736,11669,75469,-87329,-15853
104,128750,39035,44837,-92089,40503,-441,87937,-72435,-51291
105,130000,15330,50363,-68245,17671,-11241,90264,-51683,-69253
106,131250,-12999,33301,-29314,-10262,-20712,75550,-18255,-83088
107,132500,-44092,13814,6218,-41572,-28886,51816,19486,-90551
108,133750,-70567,-2913,37266,-68474,-25690,23591,49354,-55555
109,135000,-87074,-23108,69497,-85500,-20026,-14215,72259,-23544
110,136250,-97612,-38308,92096,-96673,-15709,-49617,88992,-57
111,137500,-99999,-51854,99998,-99999,-7556,-74106,85787,28855
112,138750,-93275,-67555,96504,-94299,965,-88069,72177,55396
113,140000,-79292,-74983,77524,-81181,9200,-91921,51052,73471
114,141250,-59198,-65675,45737,-61455,17035,-80246,20035,76968
115,142500,-35710,-53464,36807,-37330,24581,-57207,-12607,80519
116,143750,-13187,-35346,38433,-13519,25887,-24475,-42425,68671
117,145000,3891,-16689,37711,4792,22818,12597,-67293,43633
118,146250,12180,11555,37954,14178,17486,51813,-78017,18028
119,147500,11034,28622,37768,13589,9249,68422,-74931,-12045
120,148750,1516,26816,37818,4026,340,66271,-74909,-44725
121,150000,-13868,27644,37757,-11539,-7310,67467,-73557,-61942
122,151250,-32957,27053,37654,-31043,-15967,66217,-72128,-72029
123,152500,-55090,27217,37548,-53800,-19594,65185,-70885,-75612
124,153750,-62360,27201,37498,-61475,-3470,64430,-68069,-41893
125,155000,-59890,27206,37518,-59221,-2410,62638,-68390,-29606
126,156250,-59294,27198,37508,-58828,-2430,60684,-52994,-16229
127,157500,-58180,27219,37513,-57884,-2073,58348,-39588,6389
128,158750,-57427,27059,37511,-57286,-297,56289,-50023,29251
129,160000,-56676,27101,37511,-56668,1174,41969,-50312,47613
130,161250,-56015,27039,37511,-56137,1561,35213,-46149,61949
131,162500,-55404,26878,37511,-55644,2386,41925,-40166,74831
132,163750,-54860,26824,37511,-55196,1543,41409,-33761,74403
133,165000,-54359,26846,37511,-54800,324,38154,-27124,62056
134,166250,-53900,26834,37511,-54426,-29,33636,-20137,45675
135,167500,-53471,26839,37511,-54069,-954,29038,-12915,22709
136,168750,-53068,26837,37511,-53752,-1916,24325,-5838,-3697
137,170000,-52703,26837,37511,-53460,-2595,19393,829,-26023
138,171250,-52358,26837,37511,-53167,-3134,13991,6910,-41833
139,172500,-52030,26837,37511,-52899,-3491,8386,12347,-53201
140,173750,-51729,26837,37509,-52648,-3550,2728,17369,-52322
141,175000,-51448,26837,37517,-52423,-3134,-2881,21314,-40470
142,176250,-51169,26837,37495,-52202,-2452,-8113,23861,-23893
143,177500,-50908,26837,37548,-51997,-1497,-12952,25237,-1435
144,178750,-50677,26837,37342,-51807,-449,-17284,25738,23864
145,180000,-50459,26837,37340,-51625,540,-20266,25720,46094
146,181250,-50251,26837,37546,-51452,1303,-21837,25384,61161
147,182500,-50053,26837,37490,-51296,1788,-22651,24840,71868
148,183750,-49872,26836,37224,-51144,1901,-22709,24496,71119
149,185000,-49706,26840,37344,-50998,1522,-22097,24629,58917
150,186250,-49542,26832,37270,-50867,875,-21202,25070,42132
151,187500,-49389,26848,37208,-50741,-65,-20443,26119,19179
152,188750,-49252,26806,37230,-50620,-1117,-19875,27610,-7061
153,190000,-49116,26617,37222,-50510,-2077,-19792,29229,-29292
154,191250,-48989,26718,37224,-50403,-2832,-20408,31014,-44958
155,192500,-48869,26717,37223,-50307,-3293,-21439,32580,-55953
156,193750,-48755,26627,37223,-50210,-3405,-22938,33728,-54845
157,195000,-48652,26762,37223,-50122,-2961,-24826,34170,-43074
158,196250,-48551,26658,37223,-50040,-2267,-26767,34073,-26221
159,197500,-48455,26534,37223,-49958,-1276,-28412,33211,-3505
160,198750,-48366,26424,37223,-49877,-200,-29603,31849,22012
161,200000,-48284,26643,37223,-49807,831,-30180,30190,44578
162,201250,-48202,26523,37223,-49738,1596,-29855,28475,59803
163,202500,-48124,26455,37223,-49669,2103,-29012,26843,70702
164,203750,-48050,26478,37223,-49608,2229,-27584,25622,69756
165,205000,-47979,26469,37223,-49547,1856,-25706,25035,57597
166,206250,-47913,26472,37223,-49490,1185,-23790,24970,40958
167,207500,-47846,26471,37223,-49435,253,-22142,25632,17865
168,208750,-47786,26471,37223,-49379,-804,-20871,26815,-8079
169,210000,-47727,26471,37223,-49330,-1786,-20201,28218,-30255
170,211250,-47668,26471,37223,-49278,-2555,-20375,29772,-45996
171,212500,-47616,26471,37223,-49232,-3029,-21094,31161,-56956
172,213750,-47563,26471,37224,-49186,-3125,-22327,32125,-55664
173,215000,-47515,26471,37222,-49140,-2686,-24031,32322,-43823
174,216250,-47464,26471,37227,-49096,-1956,-25799,30925,-27164
175,217500,-47418,26471,37216,-49055,-955,-27268,25834,-4853
176,218750,-47374,26471,37241,-49015,115,-28340,21776,20133
