1,0,92868,-67783,44753,-75758,76790,-53178,-16913
2,1250,86613,-87484,73252,-85405,87573,-40064,-48766
3,2500,75291,-97769,94084,-87733,86640,-21785,-76900
4,3750,55282,-90547,97950,-77927,67434,-4496,-84103
5,5000,41390,-72721,91969,-60031,43218,12023,-84428
6,6250,58598,-42876,68291,-35299,12165,27476,-71710
7,7500,26921,-4740,32583,-8771,-24726,42524,-46727
8,8750,-21147,34807,-7561,16485,-56185,50859,-16081
9,10000,-45529,69115,-46514,36990,-76733,44122,17332
10,11250,-43226,90939,-76468,48256,-88451,30546,51122
11,12500,-34777,98735,-93657,49334,-86123,14465,75232
12,13750,-11384,92395,-99378,39695,-67474,-3752,84543
13,15000,-264,73798,-92598,21228,-42905,-20358,84030
14,16250,-8930,43864,-68960,-3305,-11821,-36197,71584
15,17500,22226,4822,-32687,-30664,25104,-51590,46328
16,18750,71930,-35622,7178,-57124,56374,-59574,15694
17,20000,99998,-69782,46171,-77275,76880,-52741,-17698
18,21250,92100,-90710,76329,-87525,88498,-39027,-51473
19,22500,82596,-97163,93283,-87138,85892,-22521,-75511
20,23750,59355,-90994,98863,-77763,67030,-4070,-84723
21,25000,52498,-72657,91652,-59619,42417,12475,-84060
22,26250,62456,-42946,67633,-35569,11289,28058,-71444
23,27500,29892,-4496,31684,-8779,-25678,42888,-46030
24,28750,-21768,35659,-8672,16958,-56977,50816,-15237
25,30000,-45445,69749,-47460,37344,-77276,43987,18254
26,31250,-41232,90863,-77119,47892,-88750,30128,51949
27,32500,-36160,98292,-94190,48439,-85971,13398,75749
28,33750,-13506,92058,-99622,39167,-67010,-4794,84844
29,35000,-3967,73377,-92400,20583,-42256,-21180,84012
30,36250,-15377,43216,-68207,-4050,-10892,-36982,71194
31,37500,17785,3915,-31713,-31525,26046,-51783,45670
32,38750,70398,-36319,8582,-57257,57072,-58974,14866
33,40000,94377,-69927,47497,-76996,77371,-51999,-18629
34,41250,89840,-91084,77026,-87753,88814,-38327,-52363
