1,0,8724,60415,-49319,-3255,-29175,-66904,99653,10948
2,1250,4403,85491,-44107,-3056,6285,-88987,81781,4630
3,2500,-335,99998,-31516,-2891,45911,-99999,51416,2758
4,3750,-3834,97167,-15324,-2837,73988,-93091,19076,7537
5,5000,-6476,79867,4282,-2850,94381,-70180,-19987,14900
6,6250,-7374,50053,22882,-2970,99369,-39719,-56357,14420
7,7500,-6470,12957,37683,-3179,87386,-4562,-84086,8276
8,8750,-3871,-26293,47260,-3413,60398,34497,-99987,2926
9,10000,-161,-60765,49710,-3654,29055,67042,-99347,5695
10,11250,4279,-86944,44589,-3865,-7884,90018,-81050,11756
11,12500,8747,-99998,32612,-4013,-44970,99953,-52405,13289
12,13750,12386,-97552,15991,-4091,-74607,93602,-18894,8731
13,15000,14960,-80147,-3514,-4055,-94132,70098,19735,1144
14,16250,15942,-51080,-22106,-3950,-99689,40197,56134,1639
15,17500,14993,-13812,-36859,-3752,-87976,5312,84012,8018
16,18750,12389,25785,-46455,-3495,-60744,-33890,99752,13273
17,20000,8720,60123,-49057,-3253,-29229,-66685,99134,10429
18,21250,4255,86273,-43861,-3049,7328,-89652,81240,4398
19,22500,-199,99170,-31689,-2906,44423,-99459,52402,2784
20,23750,-3854,97264,-15220,-2839,74009,-93094,18973,7413
21,25000,-6441,79881,4114,-2854,93835,-69890,-19773,14827
22,26250,-7380,50458,22833,-2974,99641,-40105,-56112,14620
23,27500,-6426,13020,37655,-3169,87479,-4696,-84077,8231
24,28750,-3849,-26045,47252,-3416,60445,34148,-99855,2669
25,30000,-185,-60421,49738,-3659,29173,67087,-99383,5883
26,31250,4261,-86723,44574,-3865,-7609,89920,-81357,11571
27,32500,8728,-99866,32387,-4031,-44661,99901,-52566,13440
28,33750,12395,-97642,15971,-4091,-74432,93499,-19010,8667
29,35000,14982,-80319,-3399,-4067,-93936,70177,19615,1382
30,36250,15967,-51338,-21938,-3946,-99747,40507,56005,1831
31,37500,14979,-14036,-36905,-3760,-88050,5394,83899,7860
32,38750,12387,25628,-46525,-3500,-60869,-33678,99706,13338
33,40000,8749,60014,-49164,-3256,-29283,-66559,99098,10482
34,41250,4282,86112,-43977,-3051,7206,-89567,81432,4622
35,42500,-168,98845,-31756,-2899,44390,-99676,52635,2757
36,43750,-3853,97129,-15344,-2828,73909,-92660,18844,7723
37,45000,-6468,80478,3889,-2854,93699,-69878,-19643,14835
38,46250,-7382,50630,22600,-2964,99998,-40624,-56058,14448
39,47500,-6393,12749,37552,-3168,87458,-4802,-83910,8282
40,48750,-3905,-26076,47414,-3411,59975,34154,-99302,2786
41,50000,-258,-60280,50048,-3653,29579,66999,-99821,5712
42,51250,4263,-86168,44408,-3865,-7303,90180,-81856,11681
43,52500,8734,-99550,32356,-4019,-44598,99463,-52260,13331
44,53750,12390,-98607,16148,-4096,-74246,93177,-18865,8682
45,55000,14950,-80793,-3199,-4072,-94392,70947,19266,1332
46,56250,15866,-50930,-21852,-3953,-99998,40641,55813,1373
47,57500,15023,-14128,-36925,-3745,-87195,5147,83396,8032
48,58750,12516,25166,-46706,-3513,-61192,-33555,99816,13198
49,60000,8755,59450,-48902,-3268,-30244,-66645,99998,10239
50,61250,4254,85699,-43669,-3048,7266,-89424,81049,4365
51,62500,-164,99611,-32122,-2903,44176,-99131,52207,2616
52,63750,-3779,97537,-15658,-2808,74140,-93657,19535,7595
53,65000,-6375,79404,3967,-2844,93787,-70277,-19283,14896
54,66250,-7389,50519,22706,-2988,99207,-40112,-55653,14631
55,67500,-6491,13692,37631,-3158,87637,-5098,-83837,8222
56,68750,-3909,-25531,47031,-3421,60987,33820,-99999,2779
57,70000,-218,-60088,49682,-3670,29462,66631,-99441,5549
58,71250,4244,-86826,44723,-3874,-7438,89614,-81339,11396
59,72500,8695,-99953,32753,-4030,-44403,99998,-52894,13486
60,73750,12338,-97780,16159,-4084,-74223,93872,-19487,8840
61,75000,14940,-80494,-3241,-4067,-93891,70349,19298,1238
62,76250,15944,-51528,-21788,-3953,-99890,40956,55615,1716
63,77500,15011,-14277,-36825,-3746,-88043,5560,83692,7815
64,78750,12454,25094,-46465,-3502,-60927,-33372,99523,13440
65,80000,8843,59451,-49106,-3309,-30232,-66275,99736,10426
66,81250,4455,85907,-43840,-3183,7142,-89236,81456,5064
67,82500,-179,99290,-32108,-2862,43396,-99538,52515,1290
68,83750,-3315,97575,-15576,-3274,74969,-92654,19860,10836
69,85000,-7949,79842,3759,-1549,92674,-72036,-19872,9704
70,86250,24237,49657,22189,-28659,26220,-44151,-54757,-99998
71,87500,67002,40126,49739,-68289,19814,19124,-60241,-22477
72,88750,83531,36815,74901,-86452,2978,42190,-86476,-51940
73,90000,99998,18026,83651,-99999,11963,72754,-99119,-11099
