1,0,-90827,2735,71245,63798,-72694,-48257,99003,28514
2,1250,-62501,-33156,90324,86125,-43653,-77883,95632,29493
3,2500,-26273,-67476,97129,96315,-5111,-96020,79782,32610
4,3750,9164,-91627,90316,92746,31460,-99943,55143,3770
5,5000,49060,-99337,66349,73172,64462,-87398,21717,-10338
6,6250,81088,-94928,31045,40790,90434,-61468,-13932,-48098
7,7500,96971,-73346,-8393,3265,99813,-28682,-50983,-78414
8,8750,99762,-36576,-43239,-29084,91572,9108,-83155,-72326
9,10000,90931,-3246,-70815,-56664,72940,47308,-98967,-51352
10,11250,63159,32926,-90106,-78665,44192,77127,-96230,-27013
11,12500,27219,67302,-97036,-88805,5569,95543,-80356,-45210
12,13750,-8140,91930,-90186,-84935,-31362,99584,-56076,-5674
13,15000,-47969,99866,-66236,-65632,-64303,87619,-22316,8181
14,16250,-79968,95505,-30905,-33537,-90355,61963,13434,56294
15,17500,-96271,74327,8086,3464,-99961,29682,50293,63810
16,18750,-99422,37917,42801,35588,-91712,-8537,82710,56393
17,20000,-91305,4622,70373,62988,-73466,-46868,99120,35814
18,21250,-63588,-31556,89460,85352,-44711,-76972,96064,35164
19,22500,-27916,-65931,96910,96082,-6434,-95676,80677,34605
20,23750,7602,-90447,90515,92698,30361,-99732,56601,-5987
21,25000,47674,-98958,66972,73574,63538,-88150,23038,-16827
22,26250,79946,-95223,32295,41798,89698,-62424,-12882,-49002
23,27500,96558,-74511,-7089,4436,99982,-29931,-49577,-72576
24,28750,99763,-38153,-42359,-28413,92134,7972,-81952,-56740
25,30000,91632,-4982,-69947,-55868,73689,46061,-99016,-62943
26,31250,64338,31197,-89701,-78259,45500,76293,-96361,-46630
27,32500,28527,65949,-97092,-88835,6845,95145,-81120,-24854
28,33750,-6813,90904,-90812,-85472,-30029,99736,-57051,-16941
29,35000,-46772,99482,-67321,-66694,-63234,88244,-23539,5729
30,36250,-79119,95795,-32317,-34923,-89702,63083,12170,58355
31,37500,-95966,75451,6707,2127,-99859,30910,48965,72884
32,38750,-99613,38764,41555,34255,-92049,-6940,82342,67731
33,40000,-92166,5788,69108,61495,-74055,-45425,99193,54404
34,41250,-64957,-30464,88596,83972,-45752,-75960,96831,20126
35,42500,-29413,-65081,96308,95227,-7843,-95141,81508,26083
36,43750,6087,-89866,90629,92624,29156,-99952,57307,10323
37,45000,46264,-99167,68028,74401,62326,-88954,24339,-6072
38,46250,78898,-95480,33486,42919,89068,-63321,-11508,-46736
39,47500,96161,-75759,-5855,5553,99998,-31328,-48364,-69625
40,48750,99621,-39390,-41125,-27283,92460,6629,-81174,-65092
41,50000,92258,-6359,-69040,-54911,74618,44758,-98889,-54321
42,51250,65553,29931,-88988,-77346,46483,75304,-96864,-36993
43,52500,29823,64743,-96878,-88544,8329,94798,-81772,-35637
44,53750,-5394,90219,-90929,-85546,-28960,99624,-58399,1387
45,55000,-45439,99591,-67975,-66991,-62283,88816,-25122,12303
46,56250,-78306,96357,-33203,-35641,-89144,64043,10716,38476
47,57500,-95554,76766,5646,1267,-99821,32115,47789,67159
48,58750,-99566,40121,40432,33292,-92454,-5381,81750,50907
49,60000,-92804,7188,68142,60532,-74858,-44195,98763,36462
50,61250,-66053,-28876,88253,83591,-47160,-75233,97009,48760
51,62500,-30387,-63704,96483,95263,-9110,-94589,82274,20051
52,63750,4902,-89352,90863,92783,28056,-99999,58763,-15444
53,65000,44991,-99136,68831,75152,61146,-89573,25398,-18965
54,66250,78116,-95730,34866,44241,88368,-64549,-10445,-52938
55,67500,96069,-76900,-4353,7025,99871,-32618,-47027,-69839
56,68750,99632,-40658,-39983,-26178,92984,5363,-80250,-73097
57,70000,92888,-7644,-68166,-53994,75484,43433,-98618,-43959
58,71250,66709,28353,-88599,-76917,47768,74521,-96988,-51229
59,72500,31170,63656,-96869,-88443,9704,94289,-82763,-31125
60,73750,-4035,89503,-91400,-85735,-27770,99589,-59442,8809
61,75000,-43998,99525,-68816,-67756,-61218,89472,-26498,6134
62,76250,-77330,96495,-34318,-36623,-88461,64956,9234,50911
63,77500,-95305,77982,4471,216,-99840,33481,46569,88841
64,78750,-99602,41331,39213,32090,-92751,-3883,81084,36226
65,80000,-93457,8071,66841,58991,-75239,-42612,99386,31515
66,81250,-67754,-28044,86509,81307,-47719,-73602,98810,35603
67,82500,-31878,-63524,94451,92667,-9863,-93543,84058,32250
68,83750,3136,-89540,89332,90520,27449,-99486,61016,-2264
69,85000,43037,-99982,67506,72864,60821,-89303,28128,1011
70,86250,76738,-97018,33507,42035,88354,-65091,-8018,-45409
71,87500,95046,-78665,-4865,5796,99763,-33794,-46254,-76304
72,88750,99237,-42056,-39076,-25504,92770,3190,-81159,-73834
73,90000,93243,-8724,-66221,-51765,75352,41400,-99937,-51300
74,91250,67991,27509,-86080,-73837,48216,72921,-99111,-47328
75,92500,32295,62944,-94631,-85617,10677,93270,-84246,-47751
76,93750,-2624,88987,-89903,-83725,-26934,99472,-60975,-10264
77,95000,-42365,99725,-68332,-66722,-60311,89849,-28051,8913
78,96250,-76173,96935,-34368,-36220,-88051,65643,7839,51649
79,97500,-94493,79245,4035,211,-99866,34739,45513,76371
80,98750,-99044,42808,38283,31472,-92930,-2315,80780,69498
81,100000,-93495,9208,65503,57662,-75708,-40935,99998,33631
82,101250,-68753,-26685,85119,79719,-48606,-72395,99746,36248
83,102500,-32896,-62139,93545,91638,-11184,-93080,84783,23888
84,103750,1961,-88397,89442,90483,26134,-99637,61869,11658
85,105000,41711,-99267,68305,73569,59635,-90016,29063,-26121
86,106250,75756,-96817,34929,43496,87477,-66248,-7041,-39215
87,107500,94519,-79494,-3311,7257,99748,-34871,-44960,-80921
88,108750,99069,-43544,-38074,-24645,93540,1906,-79849,-62632
89,110000,93172,-9961,-65792,-51643,76581,40706,-98545,-53679
90,111250,68725,25473,-86739,-74880,50112,72545,-98398,-45263
91,112500,33113,60818,-95839,-87260,12277,93149,-84126,-29733
92,113750,-1711,87339,-91556,-85834,-25376,99998,-61617,5173
93,115000,-41360,98620,-70502,-69162,-58986,90652,-28834,13815
94,116250,-75395,96467,-36685,-38897,-87011,66998,6916,45336
95,117500,-94429,79816,1847,-2252,-99818,35916,43892,66329
96,118750,-99302,43912,37269,30423,-93881,-1483,78621,50777
97,120000,-93760,10477,65552,57912,-77183,-40407,98256,38554
98,121250,-69539,-24741,86414,81449,-50646,-72377,98115,22677
99,122500,-33925,-60090,95614,94199,-12985,-93123,84705,29685
100,123750,888,-86826,91538,92987,24529,-99917,62391,15848
101,125000,40834,-98354,70603,76311,58332,-90918,30016,-6831
102,126250,75054,-96440,37336,46217,86463,-67315,-5719,-27452
103,127500,94451,-80085,-1415,9427,99803,-36122,-43292,-61407
104,128750,99542,-44445,-36722,-23179,93890,451,-78668,-44731
105,130000,93975,-10690,-64447,-49944,76880,39214,-98958,-45655
106,131250,70525,24785,-85277,-72887,50942,71139,-99566,-47958
107,132500,34744,60475,-94580,-85421,13300,92274,-85436,-30627
108,133750,46,87665,-90740,-84320,-24538,99598,-63501,4984
109,135000,-39450,99352,-70036,-67924,-58271,90787,-30653,11331
110,136250,-73897,97110,-36545,-38232,-86494,67801,5080,42183
111,137500,-93511,80906,1550,-2086,-99736,37050,42739,78239
112,138750,-98934,45247,36201,29578,-93787,540,78973,61970
113,140000,-94190,11387,63662,55777,-77098,-38417,99246,50005
114,141250,-70825,-23517,84355,78851,-51308,-70807,99675,47049
115,142500,-35289,-59669,93636,91568,-13811,-91945,86551,29124
116,143750,-555,-86889,89857,90649,23858,-99433,64337,8825
117,145000,38976,-98983,69855,74739,57621,-91274,31899,-17542
118,146250,73550,-97299,36989,45241,85919,-67936,-4025,-38620
119,147500,93500,-81315,-1160,9190,99815,-37438,-42239,-69355
120,148750,99047,-46523,-35866,-22743,94062,-1023,-78451,-55692
121,150000,93569,-10198,-63137,-48441,77003,37374,-99511,-45848
122,151250,72369,2448,-83604,-75115,51633,62485,-99998,-49363
