1,0,30910,26684,-17446,22750,-14140,83213,-83726,-28475
2,1250,-11994,26950,-7269,22673,-38633,99998,-58090,-27608
3,2500,-51144,26601,8194,23135,-61514,98271,-22289,-27654
4,3750,-69820,24376,20435,22447,-74331,74166,15515,-27775
5,5000,-41265,28026,40577,30048,-80602,4800,53162,-41124
6,6250,-5486,34566,54988,39394,-76352,-40682,81492,-41388
7,7500,-8070,28156,46958,32720,-68104,-44107,88513,-32612
8,8750,3824,9913,35947,16622,-50656,-59664,86271,-26318
9,10000,4488,-14099,14861,-6387,-20321,-57160,79181,-5096
10,11250,-18440,-40163,-15624,-33644,12058,-44403,63000,17134
11,12500,-46057,-65555,-44639,-60377,43696,-25413,43576,39620
12,13750,-74015,-86888,-70450,-83311,71731,2085,25673,63495
13,15000,-93642,-98801,-90781,-97253,92321,35192,14059,87056
14,16250,-99999,-99999,-99999,-99999,99998,62693,5945,99998
15,17500,-92801,-89958,-96110,-90860,93166,79837,2090,99534
16,18750,-83351,-69855,-82135,-71767,73704,81248,-1284,82998
17,20000,-70270,-42097,-56277,-44305,40807,68700,-882,52206
18,21250,-38887,-9688,-19952,-10502,1732,46545,4411,15208
19,22500,-1524,21141,17589,22508,-35791,17370,12862,-21758
20,23750,28795,44752,48423,48205,-66302,-12188,26631,-50577
21,25000,53874,60270,71985,65855,-87245,-40609,40998,-71082
22,26250,73505,65020,86652,73046,-93803,-64830,49860,-81423
23,27500,79975,57203,88864,67336,-86559,-82466,52361,-81541
24,28750,83587,39241,79276,51320,-71598,-90154,52313,-72881
25,30000,87992,13214,57134,26682,-43745,-86697,45758,-52954
26,31250,76443,-17157,25315,-3820,-8076,-74641,34827,-25666
27,32500,55466,-46455,-10096,-34460,24794,-51452,21316,2569
28,33750,37873,-70058,-40935,-59565,53524,-21993,3570,27868
29,35000,21644,-84316,-63015,-75545,75446,7451,-11213,49340
30,36250,8266,-87448,-76166,-80898,82892,33244,-18219,61986
31,37500,7416,-78386,-77730,-73812,75090,50491,-20358,61696
32,38750,5144,-58988,-67643,-56434,59404,55764,-22024,50595
33,40000,-993,-32142,-44653,-31095,30424,48177,-17761,26910
34,41250,15447,-1097,-10938,473,-8298,28654,-9715,-7311
35,42500,39943,29824,25253,32735,-43673,3138,196,-40343
36,43750,56802,55523,55840,59492,-72397,-24892,15313,-66430
37,45000,71800,71828,79192,77287,-92630,-51795,31405,-84859
38,46250,84565,76419,93668,83985,-98727,-74615,40546,-94124
39,47500,87881,68519,97022,78246,-90988,-91545,42764,-93715
40,48750,91042,50275,88797,62194,-76056,-98068,43034,-84447
41,50000,99998,24122,67880,37872,-48711,-93224,36798,-64185
42,51250,92368,-6494,36519,7451,-12185,-79616,26923,-35040
43,52500,74429,-35722,1030,-23030,20975,-56721,14505,-6127
44,53750,62723,-59462,-29949,-47965,48332,-28119,-2935,17900
45,55000,53195,-73823,-52894,-63894,69321,-200,-18602,37557
46,56250,44672,-76762,-66681,-68918,76605,25048,-25786,49765
47,57500,46468,-67492,-69617,-61777,68989,42528,-27086,50157
48,58750,44871,-47992,-61374,-44647,53625,48294,-28019,39892
49,60000,35976,-21211,-40244,-19774,25319,41026,-23232,17137
50,61250,45930,9560,-7994,11051,-12405,23051,-14630,-15378
51,62500,64233,39388,27212,41983,-46768,-902,-4098,-46660
52,63750,75371,62807,58332,66685,-74342,-28431,11634,-71308
53,65000,84457,77554,81624,82944,-93931,-54734,28511,-88580
54,66250,91235,82007,95998,89215,-99611,-76873,37543,-97305
55,67500,89223,74093,99998,83341,-91872,-93408,39003,-97128
56,68750,91169,55497,92628,67105,-76891,-99803,39286,-87754
57,70000,99594,29458,72131,42906,-49591,-94433,33164,-67262
58,71250,93924,-1095,41111,12665,-13310,-80008,23397,-37930
59,72500,77886,-30690,6717,-17813,19720,-57723,11304,-9190
60,73750,68556,-54044,-25005,-42472,46450,-29956,-5828,14161
61,75000,61894,-68583,-48671,-58521,66505,-3005,-22082,32393
