1,0,13637,-31476,22460,13739,-928,86480,-85548,-970
2,1250,14665,-33089,15459,13752,-36223,98463,-60884,-991
3,2500,15565,-29131,3813,13720,-72662,97743,-24412,-908
4,3750,15921,-22027,-6549,13660,-89902,78129,11078,-1091
5,5000,15871,-12696,-15963,13570,-99999,49314,49292,-907
6,6250,15135,349,-23161,13456,-92106,13005,78497,5357
7,7500,14244,11912,-27550,13355,-70083,-25186,95535,1006
8,8750,13047,20756,-26581,13275,-37859,-60986,99073,-1460
9,10000,11741,26149,-21092,13223,-1796,-85838,85320,-757
10,11250,10660,28245,-14170,13206,35619,-99245,59844,-1182
11,12500,9861,24349,-3356,13236,68133,-97143,26135,-879
12,13750,9456,17000,7722,13295,87798,-77968,-11641,-8716
13,15000,9528,7493,16942,13387,97347,-49274,-49063,-10339
14,16250,10211,-5068,24164,13500,90187,-13537,-78276,-2225
15,17500,11131,-16795,28519,13593,67657,25173,-95422,-18248
16,18750,12325,-25725,27651,13677,35707,60903,-99118,-3349
17,20000,13630,-31116,22233,13731,-421,85687,-85324,-609
18,21250,14718,-33334,15316,13751,-37809,99322,-60047,-677
19,22500,15504,-29265,4421,13721,-70183,97070,-26288,-2137
20,23750,15925,-22022,-6647,13660,-90230,78270,11300,2879
21,25000,15871,-12750,-15872,13571,-99739,49622,48753,5025
22,26250,15160,74,-23045,13457,-92333,13467,78218,2943
23,27500,14236,11883,-27532,13356,-70294,-24921,95423,3500
24,28750,13070,20622,-26663,13276,-38508,-60467,99218,-1973
25,30000,11757,26170,-21294,13224,-2183,-85695,85582,-413
26,31250,10668,28313,-14302,13206,35265,-99090,59996,-1564
27,32500,9879,24194,-3347,13239,67769,-97080,26461,45
28,33750,9443,17144,7668,13296,87796,-78530,-11075,-4208
29,35000,9517,7819,16744,13384,97211,-49624,-48591,-13299
30,36250,10218,-4982,24087,13495,90276,-13723,-78084,-5288
31,37500,11123,-16774,28489,13597,68033,24705,-95280,-13868
32,38750,12305,-25529,27710,13681,36180,60494,-99150,-2544
33,40000,13618,-31081,22296,13733,-17,85562,-85619,-774
34,41250,14693,-33259,15360,13753,-37317,99129,-60328,-823
35,42500,15496,-29318,4544,13721,-70008,97302,-26651,-1631
36,43750,15925,-22113,-6533,13659,-89956,78479,10830,1413
37,45000,15867,-12775,-15718,13569,-99652,49857,48422,2106
38,46250,15174,6,-23050,13460,-92639,14046,77976,4566
39,47500,14258,11660,-27450,13360,-70581,-24482,95237,1514
40,48750,13078,20629,-26702,13277,-38741,-60305,99302,-1710
41,50000,11770,26086,-21322,13227,-2617,-85352,85748,-473
42,51250,10681,28258,-14315,13209,34894,-99082,60364,-1644
43,52500,9882,24340,-3541,13235,67417,-97279,26963,327
44,53750,9454,17238,7487,13292,87590,-78713,-10725,-4843
45,55000,9503,7949,16771,13385,97366,-50021,-48340,-10695
46,56250,10218,-4891,23941,13496,90241,-14159,-77657,-3061
47,57500,11126,-16697,28454,13596,68409,24354,-95273,-12472
48,58750,12278,-25410,27810,13673,36814,60040,-99343,1043
49,60000,13606,-31040,22361,13730,250,85364,-85718,-3847
50,61250,14693,-33276,15431,13748,-36969,99087,-60614,-3657
51,62500,15482,-29284,4679,13721,-69618,97389,-27119,-257
52,63750,15928,-22218,-6425,13659,-89894,78867,10384,-1184
53,65000,15863,-12936,-15639,13571,-99514,50188,47942,-1204
54,66250,15174,-94,-22937,13461,-92830,14381,77786,18
55,67500,14274,11622,-27552,13361,-70976,-24014,95182,2830
56,68750,13092,20425,-26673,13277,-39010,-59829,99117,-1512
57,70000,11766,26081,-21244,13225,-3006,-85224,86061,-759
58,71250,10698,28318,-14512,13206,34313,-98972,60869,-1224
59,72500,9893,24487,-3714,13230,67279,-97489,27279,-469
60,73750,9462,17220,7389,13292,87290,-78754,-10344,-6182
61,75000,9516,7918,16622,13384,97288,-50357,-47927,-8709
62,76250,10185,-4665,23970,13496,90762,-14743,-77536,-2365
63,77500,11105,-16453,28429,13591,68581,23904,-95014,-17897
64,78750,12278,-25447,27752,13675,36954,59860,-99331,-4117
65,80000,13591,-30993,22472,13730,828,85085,-86084,-154
66,81250,14687,-33285,15538,13751,-36575,98985,-60935,-1335
67,82500,15485,-29406,4733,13723,-69342,97490,-27460,-832
68,83750,15918,-22296,-6243,13662,-89657,79075,9944,-1049
69,85000,15888,-13160,-15586,13578,-99727,50677,47664,-842
70,86250,15189,-317,-22826,13466,-92761,14719,77386,9363
71,87500,14260,11566,-27385,13360,-71182,-23726,95042,1608
72,88750,13121,20461,-26829,13289,-39763,-59423,99418,-1716
73,90000,11790,26067,-21531,13224,-3381,-85026,86234,-367
74,91250,10880,28401,-14446,13396,33821,-98830,61015,-1835
75,92500,9798,24385,-3817,13127,67228,-97511,27621,1215
76,93750,10129,17805,7469,13993,85995,-79103,-9661,-7159
