1,0,2270,12340,-6890,3286,27811,70285,-98669
2,1250,1966,12723,-4665,3236,-8108,88903,-80480
3,2500,1613,13259,-1801,3250,-49939,99998,-49559
4,3750,1319,12084,746,3068,-77516,92977,-16389
5,5000,1273,9170,3354,3059,-94459,69307,23046
6,6250,1159,5727,6126,2846,-99903,38582,59024
7,7500,1197,4024,6700,2731,-88096,2159,84566
8,8750,1487,240,6223,2612,-60457,-37160,97474
9,10000,1722,-3418,5674,2296,-27131,-70977,97951
10,11250,2008,-4186,3819,2259,10611,-90977,79202
11,12500,2411,-4669,1235,2327,48294,-99641,50170
12,13750,2743,-3515,-1263,2448,78314,-93704,15500
13,15000,2848,-1022,-2828,2700,94278,-69525,-23501
14,16250,2879,2067,-5901,2729,99998,-38936,-59611
15,17500,2772,5027,-6789,2778,87747,-2353,-84803
16,18750,2584,8505,-6971,3013,60035,36932,-97570
17,20000,2151,11309,-6781,2986,26677,70548,-97817
18,21250,1913,12359,-4988,3080,-11071,90363,-78889
19,22500,1599,12659,-1939,3136,-48712,98910,-49769
20,23750,1221,11322,-32,2793,-78654,92701,-15010
21,25000,1185,8861,3420,2898,-94445,68387,23928
22,26250,1151,5493,5532,2711,-99999,37769,59939
23,27500,1224,2688,6586,2588,-87492,1131,85003
24,28750,1482,-432,7210,2601,-59659,-38157,97669
25,30000,1747,-3882,5660,2239,-26204,-71675,97697
26,31250,2007,-4860,3953,2203,11609,-91336,78535
27,32500,2384,-4228,852,2239,49207,-99717,49360
28,33750,2708,-3714,-823,2497,78919,-93267,14515
29,35000,2841,-333,-3241,2714,94539,-68785,-24490
30,36250,2811,2042,-6027,2648,99957,-38087,-60447
31,37500,2790,5128,-6563,2916,87180,-1344,-85269
32,38750,2586,8501,-6345,3148,59241,37912,-97765
33,40000,2172,11414,-6771,2998,25748,71224,-97576
34,41250,1910,12125,-4660,3030,-12072,90702,-78231
35,42500,1584,12055,-2210,3047,-49627,99003,-48966
36,43750,1260,12308,488,3010,-79225,92291,-14036
37,45000,1192,9197,3099,2911,-94710,67656,24890
38,46250,1225,6237,6288,3015,-99942,36923,60760
39,47500,1262,2808,8030,2871,-86913,134,85472
40,48750,1592,-180,6645,2679,-58923,-39109,97882
41,50000,1778,-3550,5729,2324,-25218,-72357,97423
42,51250,2576,-4866,3685,2818,12295,-91554,77961
43,52500,1959,-3934,1444,1879,50731,-99941,48399
44,53750,10460,-10429,-7725,9780,73382,-91504,14984
45,55000,42020,-41417,-39471,38581,73852,-62359,-18827
46,56250,75634,-77865,-75888,68421,77885,-29828,-53896
47,57500,94550,-99999,-99999,84524,75037,4440,-81647
48,58750,86245,-89114,-96622,76580,65382,37122,-99400
49,60000,73529,-69949,-82933,65980,34356,68122,-99999
50,61250,57442,-51101,-64241,52050,-1198,87129,-81494
51,62500,27848,-18938,-31771,25861,-29555,92986,-55408
52,63750,-2852,17007,3526,-755,-58795,85547,-20741
53,65000,-23068,39823,28877,-18151,-81961,63159,21024
54,66250,-45142,61762,53471,-37915,-84789,31329,56542
55,67500,-64539,81607,76003,-55074,-73524,-5312,81557
56,68750,-75153,92231,90287,-64213,-52555,-41739,95701
57,70000,-73857,87428,90024,-63286,-27227,-71711,97329
58,71250,-59330,69589,73348,-50815,1857,-87997,81023
59,72500,-32101,39762,43488,-26803,30105,-93467,55324
60,73750,748,1500,5518,1749,55636,-85294,21833
61,75000,26844,-27901,-25263,24452,77171,-62425,-19266
62,76250,52018,-52766,-54224,46845,82841,-31804,-55573
63,77500,73980,-75572,-79488,66257,72423,4410,-80959
64,78750,85649,-86782,-93952,76587,52625,40783,-95584
65,80000,84983,-83526,-94952,76073,27530,70692,-97563
66,81250,70938,-65742,-78569,64049,-1275,87100,-81580
67,82500,44368,-35725,-48719,40770,-29546,92598,-55926
68,83750,9906,2968,-10576,10484,-53562,83956,-22727
69,85000,-20116,36984,23819,-15714,-74386,60493,18356
