1,0,3139,-90950,14553,86859,-86300,-1495
2,1250,3599,-66082,-14150,98927,-60789,-38251
3,2500,3636,-30471,-43979,95980,-23806,-71797
4,3750,3230,5317,-61759,77057,15216,-91694
5,5000,2227,43613,-70714,48234,52805,-99998
6,6250,1027,74553,-67681,10744,80997,-90025
7,7500,-221,93641,-52528,-28435,97901,-67210
8,8750,-1415,96659,-29092,-62062,99998,-35862
9,10000,-2376,85182,1140,-86956,85409,2709
10,11250,-2844,62265,30902,-99385,59018,40661
11,12500,-2854,27727,58730,-95338,23801,71434
12,13750,-2458,-11908,77660,-76483,-16424,92556
13,15000,-1463,-48926,86384,-47305,-53483,99998
14,16250,-259,-77536,83421,-9926,-81652,90126
15,17500,988,-96815,68205,29144,-98278,67176
16,18750,2185,-99755,44915,62660,-99999,35606
17,20000,3143,-88295,12713,87382,-85123,-3149
18,21250,3618,-65417,-17641,99633,-58653,-41053
19,22500,3609,-30723,-43346,95172,-23279,-71525
20,23750,3118,8521,-61853,75946,16999,-92350
21,25000,2218,46649,-70661,46609,53915,-99485
22,26250,1029,75915,-67776,9111,81896,-89289
23,27500,-288,93793,-52148,-29794,98275,-66259
24,28750,-1417,99998,-26703,-63080,99638,-34548
25,30000,-2373,87540,3304,-87653,84485,4277
26,31250,-2849,62198,33392,-99648,57894,42041
27,32500,-2839,27681,58833,-94913,22413,72412
28,33750,-2350,-11680,78816,-75449,-17930,93044
29,35000,-1447,-49685,86989,-45961,-54730,99899
30,36250,-266,-79143,83294,-8283,-82596,89418
31,37500,1070,-96479,67975,30630,-98708,66116
32,38750,2294,-99821,42325,63682,-99704,34295
33,40000,3225,-88450,12610,87957,-84277,-4543
34,41250,3613,-64113,-18706,99695,-57425,-42335
35,42500,3609,-27179,-45793,94707,-21753,-72602
36,43750,3118,9875,-64237,75037,18526,-92976
37,45000,2216,46349,-70660,45338,55145,-99435
38,46250,1034,76141,-65392,7613,82803,-88643
39,47500,-303,93279,-49693,-31266,98703,-65186
40,48750,-1525,96833,-25662,-64246,99440,-33196
