1,0,90703,87266,82460,89800,-95451,-44811,29380,-87588
2,1250,95311,87580,96220,91976,-97708,-72672,35880,-97199
3,2500,73421,77371,99998,83057,-88112,-94675,36464,-97243
4,3750,77955,58674,89197,64859,-68235,-99094,34807,-81406
5,5000,99998,33830,62524,39224,-32328,-89052,27648,-47946
6,6250,59281,7315,24256,9840,10188,-66954,17337,-5196
7,7500,9178,-16963,-16816,-18029,46503,-36434,4254,33288
8,8750,-12180,-35690,-53799,-40021,75932,150,-13172,64662
9,10000,-23783,-45843,-80250,-52763,96236,34187,-29245,87196
10,11250,-28629,-45959,-94443,-54818,99492,65204,-34959,99723
11,12500,-7537,-35658,-97601,-45722,89873,86017,-34506,99998
12,13750,-14103,-16700,-87165,-27370,69552,90867,-33095,83743
13,15000,-38246,7986,-60173,-1861,33175,79073,-26179,48879
14,16250,2651,35271,-22489,28122,-9483,56268,-15874,5679
15,17500,51363,61162,18293,57390,-46042,25397,-3150,-33448
16,18750,70814,80754,53844,79954,-75463,-11149,13554,-65332
17,20000,79189,91258,80160,92954,-95099,-44702,29691,-86974
18,21250,75709,91966,94402,95455,-97514,-74007,36182,-97369
19,22500,51614,82281,96765,86799,-87455,-93807,36114,-96493
20,23750,59305,63876,86335,68932,-66871,-98449,34412,-80108
21,25000,73806,39317,59314,43434,-30727,-87334,27181,-46009
22,26250,37530,11474,22104,13057,11357,-65853,16521,-4195
23,27500,-13952,-14531,-18256,-16284,47408,-35049,3352,34101
24,28750,-35164,-33875,-54753,-38773,76547,1643,-13748,65485
25,30000,-41016,-44224,-80521,-51573,96087,35207,-29683,87189
26,31250,-38048,-44425,-94855,-53599,98747,65737,-35320,98990
27,32500,-11019,-34003,-97259,-44253,88874,86075,-34693,98931
28,33750,-19652,-14856,-87114,-25784,68032,90430,-32965,82192
29,35000,-39022,10192,-60164,80,31400,78476,-25833,47175
30,36250,2367,37492,-22858,30066,-11119,55112,-15527,3862
31,37500,50014,62557,17225,58466,-47318,23546,-2732,-35175
