1,0,-7838,26731,-27802,-8899,-28338,-69067,97951
2,1250,-9712,34065,-23823,-8868,7429,-88315,81366
3,2500,-12121,36906,-15719,-9050,49047,-99999,51328
4,3750,-13537,34143,-6132,-8827,76078,-91666,16592
5,5000,-14513,25576,3393,-8900,94695,-70637,-22047
6,6250,-14442,11117,13018,-8745,99945,-39269,-58066
7,7500,-13837,-3496,20041,-8634,87822,-1791,-83880
8,8750,-12283,-18009,23220,-8444,62289,37164,-98502
9,10000,-10225,-31009,22504,-8361,27759,69920,-97427
10,11250,-8101,-39137,19070,-8170,-10002,90501,-80076
11,12500,-6048,-41190,10722,-8235,-47434,99709,-51870
12,13750,-4476,-39431,1180,-8454,-76916,92564,-15845
13,15000,-3559,-30856,-8432,-8466,-94602,70939,22467
14,16250,-3519,-15938,-18265,-8494,-99999,39835,58394
15,17500,-4186,-1746,-24875,-8640,-87554,2186,84032
16,18750,-5758,13360,-28245,-8783,-61855,-36848,98586
17,20000,-7815,26858,-27272,-8787,-27245,-69329,97200
18,21250,-9865,34370,-23686,-8945,10408,-89801,79846
19,22500,-11963,36789,-15547,-8931,47837,-98844,51436
20,23750,-13554,34265,-5644,-8748,77201,-91421,15249
21,25000,-14447,25665,3826,-8764,94775,-69684,-23029
22,26250,-14453,11128,13404,-8666,99998,-38408,-58961
23,27500,-13835,-4055,19963,-8677,87268,-791,-84355
24,28750,-12293,-18820,23121,-8547,61502,38108,-98691
25,30000,-10199,-31349,22641,-8347,26751,70615,-97124
26,31250,-8168,-39786,18863,-8337,-10919,90869,-79602
27,32500,-5996,-41357,10304,-8281,-48295,99695,-51003
28,33750,-4422,-38987,786,-8417,-77567,92207,-14829
29,35000,-3588,-30734,-8563,-8481,-94875,70278,23365
30,36250,-3543,-15612,-18303,-8512,-99934,38939,59199
31,37500,-4222,-1330,-25200,-8660,-87049,1137,84552
32,38750,-5854,13722,-28254,-8799,-60996,-37779,98809
33,40000,-7628,26967,-27105,-8594,-26844,-69966,96893
34,41250,-10067,34862,-23453,-9006,12084,-90046,79392
35,42500,-10968,37079,-14907,-8038,46447,-99125,50406
36,43750,-15300,33610,-5639,-10159,82609,-90268,14856
37,45000,-618,29207,5847,2640,67827,-73765,-27170
38,46250,42205,42726,32044,41558,4227,-13349,-31506
39,47500,65531,63420,58941,66295,14345,20317,-61362
40,48750,93004,78485,81369,92901,13060,46656,-87590
41,50000,99998,77583,91922,99998,8292,78948,-83992
42,51250,93452,65966,90068,93386,6317,85410,-81936
43,52500,74663,45884,73897,74003,968,92190,-59159
44,53750,40473,20218,46140,40214,-2765,81023,-31989
45,55000,3160,-5893,11732,2824,-5834,54305,1069
46,56250,-33953,-31195,-23661,-34528,-10487,21078,37623
47,57500,-65881,-51640,-55095,-66662,-10653,-14359,64052
48,58750,-88988,-62147,-79274,-89685,-9488,-46775,81632
49,60000,-99998,-60055,-91295,-99998,-7406,-71449,87314
50,61250,-95974,-45350,-89424,-95007,-3887,-85745,78316
51,62500,-77523,-24111,-72243,-75599,-134,-88632,59924
52,63750,-48686,838,-43557,-45830,3446,-79396,33781
53,65000,-14295,24756,-7167,-10579,7836,-55036,256
54,66250,20440,46122,29946,24781,11892,-22234,-35640
55,67500,51632,63184,62769,56220,11638,12731,-62661
56,68750,73305,70545,87647,77933,10191,47495,-80584
57,70000,83220,66075,99998,87220,8365,71120,-87190
58,71250,80757,50051,98526,83355,5214,83606,-78575
59,72500,64325,26525,81450,65272,1361,87443,-60819
60,73750,37200,-233,51173,36341,-2237,78983,-35259
61,75000,3483,-25257,13452,1281,-5779,54544,-1460
62,76250,-30411,-46813,-25216,-33713,-10070,21695,33735
63,77500,-60218,-63223,-60154,-64371,-10678,-12448,60760
64,78750,-80567,-69452,-86527,-85214,-8941,-46919,78505
65,80000,-89530,-65187,-99999,-93958,-7169,-70365,85280
66,81250,-87151,-47921,-99237,-90147,-4540,-82187,77173
67,82500,-71493,-23213,-82592,-72588,-671,-85868,59390
68,83750,-45228,3270,-52967,-44500,2680,-77328,34317
69,85000,-12991,28020,-15262,-10605,6880,-53171,572
70,86250,19533,49209,23210,23265,11155,-20732,-34514
71,87500,48078,65166,57590,52813,10552,12861,-60277
72,88750,67220,71630,84090,72757,9363,48337,-77816
73,90000,75317,66414,97675,80744,6120,68874,-87264
74,91250,72159,48975,97036,76353,4597,80192,-76400
75,92500,55904,23130,80146,58201,3742,88791,-56447
76,93750,29397,-3348,51022,29985,-624,79018,-31828
77,95000,-1743,-29886,12682,-3368,-3066,52797,526
78,96250,-11825,-58497,-24962,-20581,-3125,26134,41721
79,97500,-9694,-83245,-55807,-26832,-4300,-1551,72448
80,98750,-10212,-92904,-77736,-31966,-4136,-41836,86575
81,100000,-10081,-88076,-88211,-33127,-3529,-68157,89445
82,101250,-10190,-67420,-86429,-30724,-2847,-81292,76853
83,102500,-10197,-35756,-70665,-24678,-1484,-87761,55899
84,103750,-10218,378,-43684,-16244,45,-80383,27746
85,105000,-10150,36290,-9986,-6632,3387,-56948,-7687
86,106250,-10095,67539,24108,2529,7167,-25019,-42381
87,107500,-10162,90262,52927,9796,7443,8934,-67992
88,108750,-10167,99998,74198,14462,7124,44829,-84150
89,110000,-10141,95619,83801,15622,6328,72116,-86441
90,111250,-10169,75827,81420,13074,5367,86338,-73775
91,112500,-10100,45335,65170,7123,3933,90419,-53269
92,113750,-10033,7970,37888,-1440,2620,82616,-23909
93,115000,-10090,-28995,5060,-11007,-984,59141,12779
94,116250,-10144,-62483,-27800,-20218,-4971,26495,46978
95,117500,-10079,-87919,-56072,-27660,-5012,-8300,71716
96,118750,-10114,-99174,-76676,-32392,-4818,-43745,87180
97,120000,-10082,-95600,-85386,-33470,-4212,-70153,88991
98,121250,-10088,-76603,-82252,-30908,-3643,-84331,76141
99,122500,-10109,-46590,-65887,-24922,-2315,-87906,54544
100,123750,-10034,-8520,-38868,-16226,-1083,-79672,24235
101,125000,-9987,28638,-6861,-6785,2567,-56188,-12123
102,126250,-10073,60759,25095,1995,6166,-23776,-45915
103,127500,-10062,86059,52930,9435,6272,11339,-69950
104,128750,-10044,96498,72878,13923,5873,46575,-85565
105,130000,-10031,93447,81341,15062,4981,72995,-87535
106,131250,-10015,74474,77452,12381,4195,86804,-74426
107,132500,-9959,43822,60606,6284,2780,89772,-52749
108,133750,-9930,6537,33242,-2316,1250,81020,-22290
109,135000,-9982,-31436,1030,-11880,-2118,56959,14861
110,136250,-9995,-64246,-30191,-20678,-5583,24903,48780
111,137500,-10074,-89804,-58355,-28243,-5656,-10945,71658
112,138750,-10050,-99999,-77997,-32660,-5603,-45909,86947
113,140000,-10031,-96074,-85867,-33558,-5090,-71554,88818
114,141250,-9991,-76802,-81582,-30752,-4107,-85627,75234
115,142500,-9976,-46309,-63980,-24495,-2948,-87999,53066
116,143750,-9953,-7834,-36256,-15660,-1339,-79723,21545
117,145000,-9979,23448,-6252,-7239,280,-51181,-11529
118,146250,-9911,22988,14915,-3635,-1166,-27129,-54836
119,147500,-9953,6639,28478,-3131,-1903,1044,-82196
120,148750,-9961,-11353,35404,-3877,-1828,41403,-94702
121,150000,-9957,-26142,35013,-5506,-1911,70252,-94837
122,151250,-9925,-36418,30008,-7417,-2270,88471,-74623
123,152500,-9932,-40044,19528,-9617,-2768,93962,-47416
124,153750,-9897,-39785,6055,-11831,-2906,82878,-13450
125,155000,-9886,-32735,-7176,-13326,-3141,61365,27095
126,156250,-9911,-18978,-20014,-14035,-3233,31757,60686
127,157500,-9985,-1941,-30244,-14000,-3179,-4677,82430
128,158750,-9926,13594,-35447,-13220,-2801,-43099,95673
129,160000,-9972,26781,-36018,-11918,-2657,-71798,92012
130,161250,-9903,36209,-32027,-10176,-2704,-88913,73377
131,162500,-9912,37974,-22285,-8349,-2637,-94487,44895
132,163750,-9937,36600,-10173,-6467,-2558,-83201,9775
133,165000,-9918,29063,2701,-5039,-2140,-59369,-28365
134,166250,-9939,16011,14843,-4440,-1862,-29233,-62101
135,167500,-9902,335,24131,-4504,-1808,7553,-84169
136,168750,-9877,-15223,29689,-5185,-1821,44981,-96451
137,170000,-9885,-28102,30018,-6493,-1892,73011,-92775
138,171250,-9917,-37180,25566,-8286,-2000,91052,-73712
139,172500,-9851,-38740,15734,-10061,-2122,95824,-45231
140,173750,-9876,-36932,3981,-11860,-2291,83774,-9344
141,175000,-9844,-29015,-8011,-13044,-2522,59688,30181
142,176250,-9895,-15896,-19406,-13591,-2531,29169,62471
143,177500,-9887,-765,-28496,-13543,-2458,-7785,84007
144,178750,-9914,13651,-33636,-12865,-2455,-46112,96270
145,180000,-9893,25852,-33412,-11506,-2406,-73699,91678
146,181250,-9894,33817,-28712,-9864,-2432,-90478,72103
147,182500,-9810,35818,-19375,-8020,-2377,-95558,41924
148,183750,-9833,33420,-7904,-6324,-2304,-83393,6421
149,185000,-9825,25083,4178,-5167,-2266,-59240,-31256
150,186250,-9808,11384,15445,-4718,-2152,-27973,-64547
151,187500,-9869,-3937,24474,-4844,-2249,9401,-86514
152,188750,-9839,-18714,28912,-5655,-2501,46814,-98154
153,190000,-9857,-31651,28713,-7084,-2983,74826,-93267
154,191250,-9824,-39141,24418,-8589,-3982,92340,-73016
155,192500,-9873,-40482,14469,-10476,-5093,96080,-43348
156,193750,-9789,-38252,3078,-12088,-6198,83262,-6959
157,195000,-9794,-30723,-8154,-13232,-7835,58460,32426
158,196250,-9780,-17313,-18965,-13600,-10007,27016,64017
159,197500,-9802,-3323,-28155,-13690,-6656,-10179,85336
160,198750,-9875,10971,-32842,-12999,-2281,-48156,96624
161,200000,-9778,22968,-32650,-11611,-4649,-75387,90775
162,201250,-9826,30837,-28573,-10117,-6576,-91621,70609
163,202500,-9794,32902,-19140,-8266,-7115,-95537,39655
164,203750,-9827,30393,-8675,-6794,-5091,-82735,3943
165,205000,-9833,22580,3164,-5619,-1008,-57998,-33691
166,206250,-9812,8505,14265,-5212,4299,-25658,-66574
167,207500,-9763,-6101,22620,-5334,10361,11994,-88013
168,208750,-9767,-19858,27117,-6026,16476,49025,-98803
169,210000,-9774,-31637,26641,-7384,21162,76570,-92926
170,211250,-9707,-38700,21850,-8903,24237,93471,-71987
171,212500,-9771,-39099,11585,-10718,25079,96766,-41816
172,213750,-9764,-35457,690,-12175,23068,83241,-4687
173,215000,-9760,-26836,-10235,-13099,18890,57664,34805
174,216250,-9691,-12510,-20567,-13287,13432,25315,66081
175,217500,-9776,1294,-28229,-13188,6861,-12836,86916
176,218750,-9772,14800,-32035,-12370,185,-50989,97526
177,220000,-9757,25064,-31241,-11135,-4489,-77359,90574
178,221250,-9788,31853,-26408,-9613,-7599,-92963,69205
179,222500,-9819,32478,-17458,-8049,-8727,-96567,37412
180,223750,-9754,29007,-6837,-6585,-6794,-82783,1729
181,225000,-9713,19178,4647,-5648,-2879,-57319,-36114
182,226250,-9723,5749,15265,-5281,2395,-24234,-69105
183,227500,-9747,-8245,23021,-5477,8605,13892,-89738
184,228750,-9747,-22279,26570,-6367,14735,50986,-99600
185,230000,-9791,-33206,25427,-7761,19321,78177,-92554
186,231250,-9705,-38987,20309,-9190,22256,94463,-70505
187,232500,-9723,-38483,10604,-10802,22912,96860,-39597
188,233750,-9727,-34760,-233,-12269,20611,82424,-2171
189,235000,-9701,-25451,-10923,-13045,16057,56048,37061
190,236250,-9726,-11430,-20453,-13186,10254,22863,67873
191,237500,-9744,2716,-28054,-12966,3665,-15569,88336
192,238750,-9728,15607,-31254,-12119,-2811,-53513,97921
193,240000,-9759,25162,-30403,-10979,-7377,-79063,89835
194,241250,-9761,31095,-25433,-9487,-10319,-94064,67693
195,242500,-9709,31694,-16118,-7825,-11295,-96675,35093
196,243750,-9672,27888,-6015,-6519,-9312,-82035,-609
197,245000,-9691,17941,5270,-5674,-5322,-55986,-38433
198,246250,-9736,4439,15345,-5401,97,-22126,-71058
199,247500,-9661,-9506,22709,-5592,6386,16326,-91126
200,248750,-9669,-22640,25716,-6508,12454,53027,-99837
201,250000,-9674,-33021,24416,-7805,16945,79689,-91509
202,251250,-9628,-38146,19016,-9271,19746,95439,-68625
203,252500,-9706,-37549,9128,-10924,20162,96677,-37056
204,253750,-9687,-33606,-1120,-12258,17402,81168,665
205,255000,-9732,-22907,-11447,-12900,12538,54031,39600
206,256250,-9714,-9767,-20927,-13067,6512,20266,69782
207,257500,-9751,3744,-27859,-12818,352,-18439,89822
208,258750,-9682,15845,-30183,-11883,-6943,-56160,98383
209,260000,-9749,24765,-28940,-10784,-8574,-81311,89044
