1,0,-2447,65885,-63883,-5469,-26667,-69135,99902
2,1250,-4119,85246,-59277,-5547,7995,-87071,81407
3,2500,-6145,89293,-34717,-5483,47995,-99999,50393
4,3750,-7598,86542,-14010,-5457,71948,-92284,18423
5,5000,-8420,72227,8240,-5444,90152,-69655,-23358
6,6250,-8370,33206,36160,-5374,95167,-40169,-58655
7,7500,-8145,1352,55595,-5383,83584,-3210,-83942
8,8750,-6660,-29636,60851,-5415,58619,36308,-98313
9,10000,-4681,-68820,63788,-5370,28363,69573,-99090
10,11250,-3130,-91723,59406,-5365,-7886,89266,-80311
11,12500,-1204,-91819,35058,-5414,-43868,99774,-51252
12,13750,394,-91995,13170,-5437,-70671,93691,-17805
13,15000,1085,-75135,-8228,-5413,-87379,70603,22835
14,16250,1082,-36811,-36046,-5452,-93285,41222,58881
15,17500,765,-5005,-56531,-5485,-81577,4305,84065
16,18750,-561,26382,-61970,-5498,-56766,-35183,98511
17,20000,-2480,63556,-63199,-5500,-26366,-68467,99247
18,21250,-4180,86747,-59546,-5583,9894,-88201,80547
19,22500,-6087,89088,-35444,-5512,45778,-98713,51495
20,23750,-7647,86629,-12684,-5466,72679,-92521,17853
21,25000,-8341,71069,8116,-5467,89441,-69564,-22697
22,26250,-8381,33362,36230,-5415,95204,-40199,-58627
23,27500,-8050,1012,56437,-5323,83482,-3157,-83871
24,28750,-6693,-30396,60707,-5425,58759,36252,-98390
25,30000,-4755,-68974,64010,-5392,28419,69528,-99129
26,31250,-3045,-91098,59265,-5341,-7858,89252,-80337
27,32500,-1205,-91821,35231,-5340,-43809,99825,-51362
28,33750,340,-91213,13235,-5412,-70700,93648,-17704
29,35000,1099,-75732,-8162,-5464,-87464,70634,22888
30,36250,1117,-36965,-37312,-5476,-93274,41292,58764
31,37500,804,-4758,-56456,-5605,-81456,4297,83968
32,38750,-574,26761,-61353,-5543,-56779,-35149,98546
33,40000,-2449,64868,-63782,-5488,-26457,-68475,99320
34,41250,-4194,86247,-59990,-5565,9897,-88178,80531
35,42500,-6027,87791,-35684,-5539,45721,-98710,51578
36,43750,-7613,87180,-13139,-5460,72605,-92554,17948
37,45000,-8370,70700,7897,-5463,89445,-69540,-22724
38,46250,-8349,33201,35878,-5429,95318,-40266,-58650
39,47500,-8030,2395,56006,-5353,83513,-3231,-83859
40,48750,-6664,-31109,60627,-5375,58656,36256,-98305
41,50000,-4753,-68341,63232,-5364,28447,69545,-99137
42,51250,-3098,-89593,58881,-5337,-7798,89241,-80422
43,52500,-1184,-93336,35975,-5429,-43758,99786,-51369
44,53750,367,-91224,13137,-5432,-70655,93712,-17807
45,55000,1150,-75583,-7475,-5466,-87454,70632,22871
46,56250,1059,-36992,-36293,-5456,-93304,41308,58823
47,57500,763,-5479,-56680,-5545,-81551,4378,83985
48,58750,-523,26126,-61016,-5536,-56757,-35123,98470
49,60000,-2506,65230,-63789,-5469,-26444,-68449,99298
50,61250,-4122,86059,-58595,-5544,9845,-88192,80625
51,62500,-6048,87728,-35867,-5508,45730,-98666,51533
52,63750,-7651,86948,-13448,-5484,72604,-92579,17974
