1,0,-9254,7520,45191,82424,6358,-88736
2,1250,-5625,-30859,57156,55203,44199,-99677
3,2500,-557,-64311,58759,19570,74004,-93772
4,3750,5493,-88183,49215,-19975,93668,-73645
5,5000,11510,-99776,29796,-55478,99374,-43912
6,6250,16465,-94464,4175,-82499,88127,-6187
7,7500,19757,-74810,-24680,-98016,64449,32539
8,8750,20924,-44644,-51617,-98104,31957,65315
9,10000,19561,-6574,-72720,-81897,-7414,88998
10,11250,16057,32494,-85433,-54518,-45194,99729
11,12500,10946,65935,-86514,-18740,-74903,93593
12,13750,4791,89497,-76096,20767,-94328,73251
13,15000,-1137,99310,-57217,56123,-99627,43277
14,16250,-6039,93806,-30844,82918,-88140,5532
15,17500,-9326,74140,-1955,98211,-64337,-33142
16,18750,-10428,42975,25017,97973,-31522,-65894
17,20000,-9094,5301,46101,81481,7936,-89385
18,21250,-5385,-32675,57725,54035,45520,-99841
19,22500,-123,-66193,58440,18112,75012,-93329
20,23750,5855,-89192,48313,-21458,94254,-72725
21,25000,11771,-98462,27934,-56721,99353,-42658
22,26250,16672,-93004,2233,-83355,87473,-4713
23,27500,19835,-72603,-26200,-98353,63359,33972
24,28750,20856,-42308,-53310,-97810,30464,66527
25,30000,19429,-5201,-73611,-81037,-9030,89778
26,31250,15748,33671,-85384,-53311,-46596,99912
27,32500,10648,66360,-86002,-17219,-75900,93051
28,33750,4626,89485,-75471,22311,-94836,72213
29,35000,-1366,98948,-55679,57372,-99552,41981
30,36250,-6206,93051,-29340,83739,-87423,3994
31,37500,-9529,73052,-648,98477,-63141,-34623
32,38750,-10491,42048,25851,97664,-30047,-67081
33,40000,-8962,4488,46343,80673,9480,-90141
34,41250,-5373,-34254,58046,52763,46847,-99886
35,42500,-11,-67045,58188,16576,75944,-92694
36,43750,6116,-89909,47411,-22929,94718,-71698
37,45000,11969,-99456,27648,-57955,99145,-41220
38,46250,16758,-93141,1714,-84181,86691,-3106
39,47500,19952,-72870,-27074,-98629,62273,35329
40,48750,20911,-41375,-54087,-97401,29041,67551
41,50000,19443,-3613,-74608,-80143,-10573,90450
42,51250,15725,34513,-85665,-52112,-47864,99978
43,52500,10426,67423,-85679,-15771,-76774,92467
44,53750,4316,90469,-74937,23727,-95294,71236
45,55000,-1610,99287,-54925,58576,-99394,40613
46,56250,-6427,92902,-28499,84584,-86644,2423
47,57500,-9536,71964,293,98810,-62099,-35996
48,58750,-10455,40529,26818,97272,-28661,-68110
49,60000,-8956,2983,47365,79713,11054,-90763
50,61250,-5119,-35580,57992,51562,48167,-99999
51,62500,237,-67813,57907,15091,76864,-92115
52,63750,6276,-90647,47032,-24421,95124,-70615
53,65000,12219,-99933,26847,-59123,98940,-39875
54,66250,16906,-92563,451,-85023,85979,-1575
55,67500,19951,-71349,-27927,-98916,61167,36740
56,68750,20765,-39898,-54175,-97012,27627,68598
57,70000,19144,-1887,-74755,-79238,-12080,91046
58,71250,15495,36061,-85814,-50814,-49161,99997
59,72500,10177,68459,-85720,-14218,-77726,91867
60,73750,4009,90830,-74528,25216,-95745,70197
61,75000,-1807,99286,-54263,59768,-99210,39256
62,76250,-6606,91892,-27447,85367,-85901,909
63,77500,-9656,70855,1485,99050,-60914,-37400
64,78750,-10395,38632,27789,96865,-27167,-69198
65,80000,-8721,758,47595,78848,12534,-91393
66,81250,-4910,-36806,58746,50215,49417,-99916
67,82500,419,-69470,57988,13503,77782,-91447
68,83750,6521,-91438,46305,-25866,95629,-69675
69,85000,12453,-99634,25799,-60247,98756,-38554
70,86250,17153,-92647,-594,-85753,85132,-16
71,87500,20125,-70602,-29518,-99170,60052,38091
72,88750,20890,-38330,-55963,-96568,26171,69637
73,90000,19186,-949,-75775,-78293,-13608,91651
74,91250,15265,37730,-86496,-49565,-50419,99998
75,92500,10005,70125,-85490,-12686,-78608,91190
76,93750,3968,91910,-74142,26667,-96168,69185
77,95000,-1980,99713,-53299,60873,-98991,37955
78,96250,-6732,91958,-26627,86111,-85123,-602
79,97500,-9696,69974,2450,99268,-59819,-38708
80,98750,-10472,37747,28636,96437,-25739,-70218
81,100000,-8618,-360,48099,77897,14092,-92036
82,101250,-4724,-38798,58601,49009,50680,-99990
83,102500,647,-70584,57622,12033,78669,-90849
84,103750,6841,-92226,45455,-27337,96017,-68593
85,105000,12583,-99841,25418,-61485,98546,-37150
86,106250,17232,-91435,-1700,-86555,84425,1456
87,107500,20251,-69241,-30640,-99297,58878,39401
88,108750,20912,-36657,-56743,-96109,24671,70704
89,110000,19104,1539,-76527,-77408,-15103,92292
90,111250,15247,39041,-86633,-48255,-51707,99987
91,112500,9820,70736,-84971,-11199,-79498,90601
92,113750,3560,92761,-72871,28050,-96563,68165
93,115000,-2283,99998,-52171,62079,-98746,36507
94,116250,-6876,91556,-25544,86986,-84293,-2271
95,117500,-9703,69289,3111,99560,-58656,-40154
96,118750,-10309,36395,29561,95955,-24306,-71177
97,120000,-8489,-1864,49205,76895,15551,-92485
98,121250,-4604,-40297,59234,47594,51991,-99858
99,122500,756,-71754,58173,10417,79583,-90132
100,123750,6916,-92727,45793,-28707,96426,-67630
101,125000,12826,-99999,24436,-62484,98237,-35839
102,126250,17488,-91489,-2670,-87237,83508,3034
103,127500,20254,-68417,-31608,-99579,57780,40775
104,128750,20752,-36177,-57903,-95707,23302,71680
105,130000,18931,2604,-77249,-76394,-16629,92832
106,131250,15034,41030,-86999,-46935,-52953,99941
107,132500,9636,71851,-85726,-9585,-80422,89899
108,133750,3548,92253,-72863,29543,-97001,67133
109,135000,-2385,99357,-51590,63106,-98455,35222
110,136250,-6993,90073,-24204,87574,-83490,-3659
111,137500,-9885,66967,5190,99651,-57483,-41427
112,138750,-10407,35232,30789,95514,-22800,-72270
113,140000,-8372,-3622,49450,76014,17062,-93136
114,141250,-4365,-42073,59139,46326,53209,-99823
115,142500,1023,-72473,57160,8904,80479,-89517
116,143750,7215,-93149,44418,-30157,96854,-66588
117,145000,13058,-99835,23057,-63677,98043,-34476
118,146250,17495,-89244,-4299,-87998,82798,4470
119,147500,20363,-66934,-33038,-99717,56558,42118
120,148750,20803,-34138,-58990,-95208,21702,72810
121,150000,18721,4733,-77556,-75528,-18177,93513
122,151250,14773,42050,-86746,-45639,-54235,99908
123,152500,9288,72301,-84653,-8058,-81271,89230
124,153750,3067,92961,-71491,30987,-97389,66087
125,155000,-2567,98513,-50268,64341,-98245,33800
126,156250,-7051,89092,-22804,88400,-82660,-5275
127,157500,-9872,66345,6013,99861,-56290,-42821
128,158750,-10211,32801,31434,94983,-21302,-73248
129,160000,-8250,-5509,50258,74990,18635,-93708
130,161250,-4225,-42477,59120,44992,54544,-99821
131,162500,1358,-73278,56411,7362,81347,-88821
132,163750,7461,-93981,43598,-31583,97162,-65491
133,165000,13176,-99219,22255,-64831,97714,-33019
134,166250,17695,-89575,-5109,-88751,81897,6114
135,167500,20407,-66141,-33834,-99901,55369,43508
136,168750,20694,-31898,-59361,-94726,20290,73753
137,170000,18731,6078,-77858,-74468,-19684,93983
138,171250,14617,43393,-86758,-44294,-55507,99826
139,172500,9002,73676,-83940,-6543,-82164,88565
140,173750,2902,93081,-70856,32392,-97701,64973
141,175000,-2807,98491,-48965,65442,-97896,32363
142,176250,-7342,88377,-21550,89111,-81822,-6803
143,177500,-9921,65048,6604,99998,-55050,-44211
144,178750,-10185,31521,31972,94471,-19777,-74296
145,180000,-8132,-6651,50572,74054,20086,-94249
146,181250,-3907,-44656,58928,43653,55711,-99664
147,182500,1599,-74716,56374,5781,82202,-88100
148,183750,7697,-93638,42956,-33022,97581,-64448
149,185000,13421,-98980,20836,-65927,97404,-31621
150,186250,17906,-88605,-6293,-89432,81005,7660
