1,0,-1833,-71524,48338,3471,-11702,-80662,90878,-2251
2,1250,4317,-91617,40568,4046,26186,-96771,69042,-1781
3,2500,10838,-99166,25732,4673,63309,-99999,36151,10998
4,3750,15232,-91159,7925,4482,85803,-84849,67,29399
5,5000,17988,-68832,-12705,4112,99998,-58650,-39293,40637
6,6250,18311,-35704,-30124,4074,97052,-24034,-70467,44632
7,7500,16036,3259,-43312,3720,77841,15134,-91236,31777
8,8750,11646,41044,-49746,3337,48208,52938,-99860,23691
9,10000,5847,71038,-49047,2348,11814,80335,-90694,23905
10,11250,-646,92173,-41140,1650,-27646,97325,-68298,21801
11,12500,-6560,99539,-26595,1614,-62293,99837,-37094,9936
12,13750,-11138,91019,-8563,1505,-86272,85090,115,-7947
13,15000,-14102,68569,11177,1387,-99794,58669,38853,-21183
14,16250,-14429,36401,29510,1876,-97450,24471,70348,-23466
15,17500,-12044,-2640,41997,2031,-78493,-14596,91237,-11204
16,18750,-7576,-40726,49332,2878,-48649,-52622,99824,-3717
17,20000,-1915,-71789,48363,3397,-12164,-80090,90752,-2451
18,21250,4613,-91684,39881,4230,27113,-97249,68582,-1954
19,22500,10674,-98447,25717,4651,61731,-99729,37423,10513
20,23750,15201,-91576,7606,4215,85746,-84814,99,29428
21,25000,18117,-68696,-11832,4594,99531,-58773,-38658,41208
22,26250,18269,-36002,-29720,4223,97422,-24721,-70155,44399
23,27500,16017,3078,-43198,3779,78010,14725,-90991,31993
24,28750,11880,41310,-49944,3441,48341,52565,-99663,23278
25,30000,6004,71897,-49907,2484,12408,80145,-91093,24019
26,31250,-391,91734,-41048,2033,-27096,97322,-68862,21547
27,32500,-6654,99182,-27041,1200,-61902,99559,-37233,9767
28,33750,-11314,91978,-9077,1352,-86054,85239,-230,-7668
29,35000,-13814,69272,10749,1674,-99999,59445,38312,-20871
30,36250,-14224,36089,28955,1793,-97519,24945,69958,-23393
31,37500,-12190,-2084,41990,2079,-78190,-14451,90769,-11512
32,38750,-7763,-39265,48997,2934,-49260,-52219,99998,-4184
33,40000,-1824,-70362,47977,3650,-12991,-79855,91360,-2343
34,41250,4724,-91750,40539,4484,26853,-96911,68519,-1815
35,42500,10570,-99998,26335,4353,61407,-99570,37540,9937
36,43750,15204,-91233,7952,4397,85685,-85547,843,28916
37,45000,17922,-68722,-12152,4282,99446,-59215,-38151,40829
38,46250,18440,-36974,-30103,4038,97086,-24732,-69815,44501
39,47500,16363,2284,-42989,4100,78433,14248,-90913,32229
40,48750,11754,38866,-49969,2942,49183,52094,-99999,23721
41,50000,6122,70955,-49732,2390,12697,79801,-91093,23398
42,51250,-461,91743,-41462,1640,-26834,96976,-68758,21882
43,52500,-6651,99998,-27434,1341,-61573,99998,-37960,10150
44,53750,-11155,91893,-9045,1464,-85836,85704,-917,-7772
45,55000,-13885,68767,10472,1432,-99655,59406,38027,-20560
46,56250,-14370,36559,28745,1705,-97658,25388,69648,-23396
47,57500,-11947,-1664,41878,2337,-78829,-13839,90761,-11829
48,58750,-7799,-40192,48644,2627,-49508,-51838,99877,-4056
49,60000,-2000,-70205,48462,3775,-13449,-79467,91332,-3564
50,61250,4587,-91791,40190,4140,26288,-96786,69012,-1097
51,62500,10530,-99123,26496,4518,60709,-99734,38184,7091
52,63750,15465,-91757,8273,4873,85897,-85638,1140,34061
53,65000,19143,-68663,-11378,6310,94156,-58560,-36359,5629
54,66250,44501,-40305,-31276,39943,55546,-10458,-54127,-99999
55,67500,76625,-34233,-59840,73983,30369,35347,-69943,-43397
56,68750,93722,-28076,-80392,90184,25956,63887,-89456,11797
57,70000,98191,-6224,-84233,99998,6032,82514,-88648,4484
58,71250,86720,18268,-78455,91989,-12564,90083,-72381,68857
59,72500,61482,39753,-62651,68262,-29611,84499,-50400,60980
60,73750,27122,54839,-34836,35596,-40945,66856,-21136,65643
61,75000,-12278,56372,-410,-4354,-49970,39592,15631,73198
62,76250,-49826,53412,33173,-43097,-48967,5738,48315,73413
63,77500,-78868,46078,61090,-73333,-37660,-30970,72694,63128
